"","","","SCHEDULE  (Contd.)","",""
"Serial","Country","Country","Currency","Currency","Rate of Exchange"
"No.","","Code","","Code","(Rs.)"
"44.","Switzerland","CH","Francs","CHF","187.1107"
"45.","Taiwan","TW","Dollar","TWD","6.0694"
"46.","Thailand","TH","Baht","THB","6.0654"
"47.","U.A.E.","AE","Dirham","AED","49.8602"
"48.","United Kingdom","GB","Sterling-Pound","GBP","238.4260"
"49.","United States of America","US","Dollar","USD","183.1440"
"50.","Zambia (Old)","ZM","Kwacha","ZMK","0.0353"
"51.","Zambia (New)","ZM","Kwacha","ZMW","12.7791"
"52.","Zimbabwe","ZW","Dollar","ZWD","0.4826"
