"No.","Column  I","Column  II","Column  III"
"","Sections","",""
"","Amended","Repeal","Insert"
"6 9","414  (Marginal","Consent  to  be","“Consent  to  be"
"","Note)","appointmented.","appointed”"
"7 0","428(2)","“shall  be","“shall  be"
"","","registrered”,","registered”;"
"7 1","428(3)","“sections  16  to  22","“sections  16  to  22"
"","","of  the  Registration","of  the  Registration"
"","","of  Decuments","of  Documents"
"","","Ordinance”,","Ordinance”."
"7 2","431(6)","“unless  the","“unless  the"
"","","floating  charge","floating  charge"
"","","was  registered  in","was  registered  in"
"","","repsect  of  that","respect  of  that"
"","","land”,","land”."
"7 3","449(2)(a)","“to  obtain  the","“to  obtain  the"
"","","mortagee’s","mortgagee’s"
"","","consent”,","consent”."
"7 4","450(3)(d)","“called  upon  to","“called  upon  to"
"","","fulfil  obligations”,","fulfill  obligations”;"
"","","","and"
"7 5","450(4)","“refrains  form","“refrains  from"
"","","acting”","acting”."
"7 6","470(1)","“for  the  pruposes”,","“for  the  purposes”."
"7 7","472(2)","“court”  (wherever","“court”"
"","","it  appears  in  that",""
"","","subsection)",""
"7 8","481(3)","“nothing  in  this","“nothing  in  this"
"","","section  shall,","section  shall,"
"","","rejudice  the","prejudice  the"
"","","operation”,","operation”."
"7 9","482","“Department  of","“Department  of"
"","","the  Registrar-","the  Registrar-"
"","","General”","General  of"
"","","(wherever  occurs)","Companies”"
