"No.","Column  I","Column  II","Column  III"
"","Sections","",""
"","Amended","Repeal","Insert"
"4 3","246(3)","“whcih  are  to  be  so","“which  are  to  be  so"
"","","acquired”,","acquired”."
"4 4","248(2)","“under  paragraph","“under  paragraph"
"","","(d)  of  subsection","(e)  of  subsection"
"","","(1)”,","(1)”."
"4 5","249(2)(b)(vii)","“containing","“containing"
"","","detalis”,","details”."
"4 6","273(1)","“On  hearing  a","“On  hearing  a"
"","","winding-up","winding-up"
"","","pritition”,","petition”."
"4 7","274(b)","“to  restrain  further","“to  restrain  further"
"","","peoceedings”,","proceedings”."
"4 8","283(1)","“when  the  securites","“when  the  securities"
"","","were  respectively","were  respectively"
"","","given”,","given”."
"4 9","284(1)","“In  the  case  where","“In  the  case  where  a"
"","","a  windingup","winding  up  order”  ."
"","","order”,",""
"5 0","287","“shall  have  affact”,","“shall  have  effect”."
"5 1","290","“Where  a","“Where  a  winding"
"","","windingup  order”,","up  order”."
"5 2","292(2)(c)","“sequsetration  in","“sequestration  in"
"","","respect  of  that","respect  of  that"
"","","balance  as  a","balance  separate"
"","","separate  debt  due","debt  due  from  the"
"","","from  the  bankrupt","bankrupt  or"
"","","or  insolvent,  and","insolvent,  and"
"","","ratebly  with  the","ratebly  with  the"
"","","other  seperate","other  separate"
"","","creditors;”.","creditors  “;"
"5 3","292(2)(h)","“windingup  the","“winding  up  the"
"","","affairs”","affairs”."
"5 4","296(4)","“prescrihed  fee”,","“prescribed  fee”."
