"","Head","","Recurrent
Capital"
"","No.","","Expenditure
Expenditure"
"","","","Rs.
Rs."
"","Head
204","Department  of  Hindu  Religious  and  Cultural  Affairs",""
"","","Programme  02
Development  Activities","209,000,000
          57,000,000"
"","Head   206","Department  of  Cultural  Affairs",""
"","","Programme  01
Operational  Activities","140,000,000
          6,000,000"
"5","","Programme  02
Development  Activities","581,000,000
                220,000,000"
"","Head
208","Department  of  National  Museums",""
"","","Programme  01
Operational  Activities","50,000,000             14,000,000"
"","","Programme  02
Development  Activities","191,000,000                     191,000,000"
"","Head
209","Department  of  National  Archives",""
"10","","Programme  01
Operational  Activities","89,000,000             10,000,000"
"","","Programme  02
Development  Activities","70,000,000
                121,000,000"
"","","State  Ministry  of    National  Heritage,  Performing  Arts  and  Rural  Arts  Promotion",""
"","","Recurrent
1,498,000,000",""
"","","Capital
      300,000,000",""
"15","Made  up  as  follows  :-","",""
"","Head
401","State  Minister  of    National  Heritage  Performing  Arts  and  Rural  Arts  Promotion",""
"","","Programme  01
Operational  Activities","180,500,000
            8,500,000"
"","","Programme  02
Development  Activities","166,500,000
                145,500,000"
"","Head
207","Department  of  Archaeology",""
"20","","Programme  01
Operational  Activities","266,000,000
            6,000,000"
"","","Programme  02
Development  Activities","885,000,000
                140,000,000"
