"","","","of the
Accounts  of
of  the","of the"
"","","","Government
Activities  of the
Government","Government"
"","","","Government",""
"","","","Rs.
Rs.
Rs.","Rs."
"","159","District  Secretariat,  Nuwara-Eliya","26001 Advances  to  Public  Officers
40,000,000
35,000,000 120,000,000","—"
"","160","District  Secretariat,  Galle","26101 Advances  to  Public  Officers
80,000,000
65,000,000 300,000,000","—"
"","161","District  Secretariat,  Matara","26201 Advances  to  Public  Officers
80,000,000
60,000,000 275,000,000","—"
"","162","District  Secretariat,  Hambantota","26301 Advances  to  Public  Officers
50,000,000     44,000,000   250,000,000","—"
"5","163","District  Secretariat/","",""
"","","Kachcheri-Jaffna","26401 Advances  to  Public  Officers
70,000,000
  55,000,000   225,000,000","—"
"","164","District  Secretariat/  Kachcheri-","",""
"","","Mannar","26501 Advances  to  Public  Officers     15,000,000       12,000,000     65,000,000","—"
"","165","District  Secretariat/  Kachcheri-","",""
"10","","Vavuniya","26601 Advances  to  Public  Officers
  14,000,000       13,000,000
  65,000,000","—"
"","166","District  Secretariat/  Kachcheri-","",""
"","","Mullaitivu","26701 Advances  to  Public  Officers     14,000,000
      9,000,000
  55,000,000","—"
"","167","District  Secretariat/  Kachcheri-","",""
"","","Killinochchi","26801 Advances  to  Public  Officers     14,000,000     11,000,000     50,000,000","—"
"15","168","District  Secretariat/  Kachcheri-","",""
"","","Batticaloa","26901 Advances  to  Public  Officers      40,000,000     32,000,000    140,000,000","—"
"","169","District  Secretariat  -  Ampara","27001 Advances  to  Public  Officers     70,000,000     50,000,000    245,000,000","—"
"","170","District  Secretariat/  Kachcheri-","",""
"","","Trincomalee","27101 Advances  to  Public  Officers     35,000,000     24,000,000   140,000,000","—"
