"H. S. Code","Description","Luxury  Tax  Free","Rate  (Applicable  on  the"
"","","Threshold","amount  exceeding  the"
"","","Value","Luxury  Tax  Free  Threshold)"
"8703.70.91","Motor  -homes,  specially  equipped","Rs. 4.0 Mn","0%"
"","for habitation (with sleeping,","",""
"","cooking  ,  toilet  facilities  etc)  ,","",""
"","not more than three years old","",""
"8703.70.98","Other, not more than three years old","Rs. 4.0 Mn","90%"
"8703.70.99","Other, more than three years old","Rs. 4.0 Mn","90%"
"8703.80","Other vehicles, with only electric","",""
"","motor  for  propulsion","",""
"","Other, powered by on board","",""
"","accumulators charged solely by","",""
"","electricity generated by on board","",""
"","solar  electricity  panels:","",""
"8703.80.21","Not more than three years old","Rs. 6.0 Mn","60%"
"8703.80.22","More than three years old","Rs. 6.0 Mn","60%"
"","Other, powered by on board","",""
"","accumulators charged by external","",""
"","electric  source  (e.g.  National  grid),","",""
"","not more than three years old","",""
"8703.80.31","Capacity of motors not","Rs. 6.0 Mn","60%"
"","exceeding  50kW","",""
"8703.80.32","Capacity of motors exceeding","Rs. 6.0 Mn","60%"
"","50kW, but not exceeding 100kW","",""
"8703.80.33","Capacity of motors exceeding","Rs. 6.0 Mn","60%"
"","100kW, but not exceeding 200kW","",""
"8703.80.34","Capacity  of  motors  exceeding  200kW","Rs. 6.0 Mn","60%"
"","Other , driven by electric motors","",""
"","powered by on board accumulators","",""
"","charged by external electric","",""
"","source (e.g. National Grid) ,","",""
"","more than 3 years old :","",""
"8703.80.41","Capacity of motors not","Rs. 6.0 Mn","60%"
"","exceeding  50kW","",""
"8703.80.42","Capacity of motors exceeding","Rs. 6.0 Mn","60%"
"","50kW, but not exceeding 100kW","",""
"8703.80.43","Capacity of motors exceeding","Rs. 6.0 Mn","60%"
"","100kW, but not exceeding 200kW","",""
"8703.80.44","Capacity  of  motors  exceeding  200kW","Rs. 6.0 Mn","60%"
"","Other, powered by on board","",""
"","accumulators charged by external","",""
"","electric  source  (e.g.  National  grid)","",""
"","and supported by an internal","",""
