"H. S. Code","Description","Luxury  Tax  Free","Rate  (Applicable  on  the"
"","","Threshold","amount  exceeding  the"
"","","Value","Luxury  Tax  Free  Threshold)"
"8702.10.53","Modified vehicles of  heading 87.03,","Rs. 3.5 Mn","120%"
"","not more than two years old","",""
"8702.10.54","Modified vehicles of  heading 87.03,","Rs. 3.5 Mn","120%"
"","more than two years old","",""
"8702.10.55","Other, not more than five years old","Rs. 3.5 Mn","0%"
"8702.10.59","Other","Rs. 3.5 Mn","0%"
"","Motor  vehicles  for  the  transport","",""
"","of 25 or more persons (adults) but","",""
"","less than 35 persons (adults)","",""
"","including the driver, more than","",""
"","ten years old :","",""
"8702.10.61","Modified vehicles of  heading 87.03","Rs. 3.5 Mn","120%"
"8702.10.69","Other","Rs. 3.5 Mn","0%"
"","Other, not more than ten years old","",""
"8702.10.73","Modified vehicles of  heading 87.03,","Rs. 3.5 Mn","120%"
"","not more than two years old","",""
"8702.10.74","Modified vehicles of  heading 87.03,","Rs. 3.5 Mn","120%"
"","more than two years old","",""
"8702.10.75","Other, not more than five years old","Rs. 3.5 Mn","0%"
"8702.10.79","Other","Rs. 3.5 Mn","0%"
"","Other, more than ten years old","",""
"8702.10.81","Modified vehicles of  heading 87.03","Rs. 3.5 Mn","120%"
"8702.10.89","Other","Rs. 3.5 Mn","0%"
"8702.20","With  both  compression-ignition","",""
"","internal combustion piston engine","",""
"","(diesel  or  semi-diesel)    and  electric","",""
"","motor as a motors for propulsion:","",""
"","Motor  vehicles  for  the  transport","",""
"","of less than 13 persons (adults)","",""
"","including the driver, not more than","",""
"","three and a half years old:","",""
"8702.20.11","Modified vehicles of heading","Rs. 4.0 Mn","90%"
"","87.03, not more than two years old","",""
"8702.20.12","Modified vehicles of heading 87.03,","Rs. 4.0 Mn","90%"
"","more than two years old","",""
"8702.20.19","Other","Rs. 4.0 Mn","0%"
"","Motor  vehicles  for  the  transport","",""
"","of less than 13 persons (adults)","",""
"","including the driver, more than three","",""
"","and a half years old :","",""
"8702.20.21","Modified vehicles of  heading 87.03","Rs. 4.0 Mn","90%"
"8702.20.29","Other","Rs. 4.0 Mn","0%"
