"","","I","","II","III"
"H. S.","H. S. Code","","Description","Luxury  Tax  Free","Rate  (Applicable  on  the"
"Heading","","","","Threshold","amount  exceeding  the"
"","","","","Value","Luxury  Tax  Free  Threshold)"
"","8703.24.20","","Ambulances and prison vans more","Rs. 3.5 Mn","0%"
"","","","than three years old","",""
"","8703.24.50","","Motor cars including station wagons","Rs. 3.5 Mn","100%"
"","","","and racing cars, not more than","",""
"","","","three years old","",""
"","8703.24.60","","Motor cars including station wagons","Rs. 3.5 Mn","100%"
"","","","and racing cars, more than three","",""
"","","","years  old","",""
"","8703.24.70","","Other, not more than three years old","Rs. 3.5 Mn","100%"
"","8703.24.80","","Other, more than three years old","Rs. 3.5 Mn","100%"
"","","","Other vehicles, with only","",""
"","","","compression  –  ignition  internal","",""
"","","","combustion  piston  engine  (diesel  or","",""
"","","","semi  diesel)  :","",""
"","8703.31","","Of a cylinder capacity not exceeding","",""
"","","","1,500cc  :","",""
"","8703.31.10","","Ambulances and prison vans not","Rs. 3.5 Mn","0%"
"","","","more than three years old","",""
"","8703.31.20","","Ambulances and prison vans more","Rs. 3.5 Mn","0%"
"","","","than three years old","",""
"","8703.31.70","","Motor cars including station wagons","Rs. 3.5 Mn","120%"
"","","","and racing cars, not more than three","",""
"","","","years  old","",""
"","8703.31.80","","Motor cars including station wagons","Rs. 3.5 Mn","120%"
"","","","and racing cars, more than three","",""
"","","","years  old","",""
"","","","Other:","",""
"","8703.31.92","","Not more than three years old","Rs. 3.5 Mn","120%"
"","8703.31.94","","More than three years old","Rs. 3.5 Mn","120%"
"","8703.32","","Of a cylinder capacity exceeding","",""
"","","","1,500 cc but not exceeding 2,500 cc :","",""
"","8703.32.10","","Ambulances and prison vans not more","Rs. 3.5 Mn","0%"
"","","","than three years old","",""
"","8703.32.20","","Ambulances and prison vans more","Rs. 3.5 Mn","0%"
"","","","than three years old","",""
"","","","Motor cars including station wagons","",""
"","","","and racing cars of a  cylinder","",""
"","","","capacity not exceeding 2,000 cc,","",""
"","","","not more than three years old :","",""
"","8703.32.52","","Of a cylinder capacity not exceeding","Rs. 3.5 Mn","120%"
"","","","1,600cc","",""
