"","I","","II","III",""
"H. S.
H. S. Code","","Description","Luxury  Tax  Free","Rate  (Applicable  on  the",""
"Heading","","","Threshold","amount  exceeding  the",""
"","","","Value","Luxury  Tax  Free  Threshold)",""
"8703.60.53","","Of a cylinder capacity exceeding","Rs. 4.0 Mn","","80%"
"","","1,600 cc, but not exceeding","","",""
"","","1,800cc, not more than three years old","","",""
"8703.60.54","","Of a cylinder capacity exceeding","Rs. 4.0 Mn","","80%"
"","","1,600  cc,  but  not  exceeding  1,800cc,","","",""
"","","more than three years old","","",""
"8703.60.58","","Other, not more than three years old","Rs. 4.0 Mn","","80%"
"8703.60.59","","Other, more than three years old","Rs. 4.0 Mn","","80%"
"","","Vehicles other than motor cars","","",""
"","","including station wagons and racing","","",""
"","","cars of a cylinder capacity","","",""
"","","exceeding 2,000 cc but not","","",""
"","","exceeding  3,000  cc:","","",""
"8703.60.61","","Ambulances and prison vans,","Rs. 4.0 Mn","","0%"
"","","not more than three years old","","",""
"8703.60.62","","Ambulances and prison vans,","Rs. 4.0 Mn","","0%"
"","","more than three years old","","",""
"8703.60.68","","Other, not more than three years old","Rs. 4.0 Mn","","80%"
"8703.60.69","","Other, more than three years old","Rs. 4.0 Mn","","80%"
"","","Motor cars including station wagons","","",""
"","","and racing cars of a cylinder","","",""
"","","capacity exceeding 2,000 cc but","","",""
"","","not  exceeding  3,000  cc:","","",""
"8703.60.71","","Other, not more than three years old","Rs. 4.0 Mn","","80%"
"8703.60.72","","Other, more than three years old","Rs. 4.0 Mn","","80%"
"","","Vehicles other than motor cars","","",""
"","","including station wagons and racing","","",""
"","","cars of a cylinder capacity","","",""
"","","exceeding  3,000  cc:","","",""
"8703.60.81","","Ambulances and prison vans,","Rs. 4.0 Mn","","0%"
"","","not more than three years old","","",""
"8703.60.82","","Ambulances and prison vans,","Rs. 4.0 Mn","","0%"
"","","more than three years old","","",""
"8703.60.88","","Other, not more than three years old","Rs. 4.0 Mn","","80%"
"8703.60.89","","Other, more than three years old","Rs. 4.0 Mn","","80%"
"","","Motor cars including station wagons","","",""
"","","and racing cars of a cylinder","","",""
"","","capacity  exceeding  3,000  cc:","","",""
"8703.60.91","","Not more than three years old","Rs. 4.0 Mn","","80%"
"8703.60.92","","More than three years old","Rs. 4.0 Mn","","80%"
