"H. S.","H. S. Code","Description","Luxury  Tax  Free","Rate  (Applicable  on  the"
"Heading","","","Threshold","amount  exceeding  the"
"","","","Value","Luxury  Tax  Free  Threshold)"
"","","combustion engine used exclusively","",""
"","","to generate electricity by driven a","",""
"","","generator on board, not more than","",""
"","","three years old","",""
"","8703.80.51","Capacity of motors not","Rs. 6.0 Mn","60%"
"","","exceeding  50kW","",""
"","8703.80.52","Capacity of motors exceeding","Rs. 6.0 Mn","60%"
"","","50kW, but not exceeding 100kW","",""
"","8703.80.53","Capacity of motors exceeding","Rs. 6.0 Mn","60%"
"","","100kW, but not exceeding 200kW","",""
"","8703.80.54","Capacity  of  motors  exceeding  200kW","Rs. 6.0 Mn","60%"
"","","Other , powered by on board","",""
"","","accumulators charged by external","",""
"","","electric  source  (e.g.  National  grid)","",""
"","","and supported by an internal","",""
"","","combustion engine used","",""
"","","exclusively  to  generate  electricity","",""
"","","by driving a generator on board ,","",""
"","","more than 3 years old :","",""
"","8703.80.61","Capacity of motors not","Rs. 6.0 Mn","60%"
"","","exceeding  50kW","",""
"","8703.80.62","Capacity of motors exceeding","Rs. 6.0 Mn","60%"
"","","50kW, but not exceeding 100kW","",""
"","8703.80.63","Capacity of motors exceeding","Rs. 6.0 Mn","60%"
"","","100kW, but not exceeding 200kW","",""
"","8703.80.64","Capacity  of  motors  exceeding  200kW","Rs. 6.0 Mn","60%"
"","","Other:","",""
"","8703.80.71","Not more than three years old","Rs. 6.0 Mn","60%"
"","8703.80.72","More than three years old","Rs. 6.0 Mn","60%"
"","8703.90","Other:","",""
"","","Not more than three years old","",""
"","8703.90.11","With wankel rotary engine","Rs. 3.5 Mn","100%"
"","8703.90.19","Other","Rs. 3.5 Mn","100%"
"","","More than three years old","",""
"","8703.90.21","With wankel rotary engine","Rs. 3.5 Mn","100%"
"","8703.90.29","Other","Rs. 3.5 Mn","100%"
"87.05","","Special  purpose  motor  vehicles,","",""
"","","other  than  those  principally","",""
"","","designed for the transport of","",""
"","","persons  or  goods  (for  example,","",""
"","","breakdown  lorries,  crane  lorries,","",""
"","","fire  fighting  vehicles,  concrete","",""
