"","I","","II","III",""
"H. S.
H. S. Code","","Description","Luxury  Tax  Free","Rate  (Applicable  on  the",""
"Heading","","","Threshold","amount  exceeding  the",""
"","","","Value","Luxury  Tax  Free  Threshold)",""
"8703.70.61","","Ambulances and prison vans,","Rs. 4.0 Mn","","0%"
"","","not more than three years old","","",""
"8703.70.62","","Ambulances and prison vans,","Rs. 4.0 Mn","","0%"
"","","more than three years old","","",""
"8703.70.68","","Other, not more than three years old","Rs. 4.0 Mn","","90%"
"8703.70.69","","Other, more than three years old","Rs. 4.0 Mn","","90%"
"","","Motor cars including station","","",""
"","","wagons and racing cars of a","","",""
"","","cylinder capacity exceeding","","",""
"","","2,000 cc but not exceeding 3,000 cc:","","",""
"8703.70.71","","Vehicles for the transport of 7","Rs. 4.0 Mn","","90%"
"","","or more persons (adults) including","","",""
"","","the driver, with non-monocoque","","",""
"","","body bolted on ladder type heavy","","",""
"","","duty chassis, with permanent","","",""
"","","four-wheel drive capability,","","",""
"","","and total payload (of persons and","","",""
"","","cargo) of over 800kg, not more","","",""
"","","than three years old","","",""
"8703.70.72","","Motor  -homes,  specially  equipped","Rs. 4.0 Mn","","0%"
"","","for habitation (with sleeping,","","",""
"","","cooking  ,  toilet  facilities  etc)  ,","","",""
"","","not more than three years old","","",""
"8703.70.78","","Other, not more than three years old","Rs. 4.0 Mn","","90%"
"8703.70.79","","Other, more than three years old","Rs. 4.0 Mn","","90%"
"","","Vehicles other than motor cars","","",""
"","","including station wagons and","","",""
"","","racing cars of a cylinder capacity","","",""
"","","exceeding  3,000  cc:","","",""
"8703.70.81","","Ambulances and prison vans,","Rs. 4.0 Mn","","0%"
"","","not more than three years old","","",""
"8703.70.82","","Ambulances and prison vans,","Rs. 4.0 Mn","","0%"
"","","more than three years old","","",""
"8703.70.88","","Other, not more than three years old","Rs. 4.0 Mn","","90%"
"8703.70.89","","Other, more than three years old","Rs. 4.0 Mn","","90%"
"","","Motor cars including station","","",""
"","","wagons and racing cars of a cylinder","","",""
"","","capacity  exceeding  3,000  cc:","","",""
