"H. S. Code","Description","Luxury  Tax  Free","Rate  (Applicable  on  the"
"","","Threshold","amount  exceeding  the"
"","","Value","Luxury  Tax  Free  Threshold)"
"8703.50.89","Other, more than three years old","Rs. 4.0 Mn","90%"
"","Motor cars including station wagons","",""
"","and racing cars of a cylinder","",""
"","capacity  exceeding  3,000  cc:","",""
"8703.50.91","Motor  -homes,  specially  equipped","Rs. 4.0 Mn","0%"
"","for habitation (with sleeping, cooking ,","",""
"","toilet  facilities  etc)  ,  not  more","",""
"","than three years old","",""
"8703.50.98","Other, not more than three years old","Rs. 4.0 Mn","90%"
"8703.50.99","Other, more than three years old","Rs. 4.0 Mn","90%"
"8703.60","Other vehicles, with both","",""
"","spark-ignition  internal  combustion","",""
"","reciprocating piston engine and","",""
"","electric  motor  as  motors  for","",""
"","propulsion, capable of being","",""
"","charged by plugging to external","",""
"","source  of  electric  power","",""
"","Vehicles other than motor cars","",""
"","including station wagons and","",""
"","racing cars, of a cylinder","",""
"","capacity not exceeding 1,000 cc:","",""
"8703.60.11","Ambulances and prison vans not","",""
"","more than three years old","Rs. 4.0 Mn","0%"
"8703.60.12","Ambulances and prison vans more","",""
"","than three years","Rs. 4.0 Mn","0%"
"8703.60.18","Other, not more than three years old","Rs. 4.0 Mn","80%"
"8703.60.19","Other, more than three years old","Rs. 4.0 Mn","80%"
"","Motor cars including station wagons","",""
"","and racing cars, of a cylinder capacity","",""
"","not  exceeding  1,000  cc:","",""
"8703.60.21","Go-Karts , not more than three","",""
"","years  old","Rs. 4.0 Mn","0%"
"8703.60.22","Go-Karts , more than three years old","Rs. 4.0 Mn","0%"
"8703.60.23","Quadricycle of cylinder capacity not","",""
"","exceeding 300 cc, not more than","",""
"","three  years  old","Rs. 4.0 Mn","0%"
"8703.60.24","Quadricycle of cylinder capacity","Rs. 4.0 Mn","0%"
"","not exceeding 300 cc, more than","",""
"","three years old","",""
"8703.60.25","All terrain vehicle (ATV) , not more","Rs. 4.0 Mn","0%"
"","than three years old","",""
