"H. S. Code","Description","Luxury  Tax  Free","Rate  (Applicable  on  the"
"","","Threshold","amount  exceeding  the"
"","","Value","Luxury  Tax  Free  Threshold)"
"","mixer  lorries,  road  sweeper","",""
"","lorries,  spraying  lorries,  mobile","",""
"","workshops,  mobile  radiological","",""
"","units)","",""
"8705.10","Crane  lorries  :","",""
"8705.10.10","Not more than ten years old","Rs. 3.5 Mn","0%"
"8705.10.20","More than ten years old","Rs. 3.5 Mn","0%"
"8705.20","Mobile drilling derricks :","",""
"8705.20.10","Not more than seven years old","Rs. 3.5 Mn","0%"
"8705.20.20","More than seven years old","Rs. 3.5 Mn","0%"
"8705.30","Fire fighting vehicles :","",""
"8705.30.10","Not more than seven years old","Rs. 3.5 Mn","0%"
"8705.30.20","More than seven years old","Rs. 3.5 Mn","0%"
"8705.40","Concrete-mixer  lorries  :","",""
"8705.40.10","Not more than ten years old","Rs. 3.5 Mn","0%"
"8705.40.20","More than ten years old","Rs. 3.5 Mn","0%"
"8705.90","Other  :","",""
"","Mobile  workshops","",""
"8705.90.11","Not more than seven years old","Rs. 3.5 Mn","0%"
"8705.90.12","More than seven years old","Rs. 3.5 Mn","0%"
"","Gully bowzers equipped with","",""
"","suction pumps for extracting sewage","",""
"","water /wastes:","",""
"8705.90.21","Not more than seven years old","Rs. 3.5 Mn","0%"
"8705.90.22","More than seven years old","Rs. 3.5 Mn","0%"
"","Concrete pump trucks :","",""
"8705.90.31","Not more than ten years old","Rs. 3.5 Mn","0%"
"8705.90.32","More than ten years old","Rs. 3.5 Mn","0%"
"","Other  :","",""
"8705.90.91","g. v. w. not exceeding 4 tonnes ,","Rs. 3.5 Mn","0%"
"","not more than seven years old","",""
"8705.90.92","g. v. w. not exceeding 4 tonnes ,","Rs. 3.5 Mn","0%"
"","more than seven years old","",""
"8705.90.93","g. v. w. exceeding 4 tonnes ,","",""
"","not more than seven years old","Rs. 3.5 Mn","0%"
"8705.90.94","g. v. w. exceeding 4 tonnes ,","Rs. 3.5 Mn","0%"
"","more than seven years old","",""
