"","","","","of  the","of  the","of  the","of  the"
"","","","","Government","Government","Government","Government"
"","","","","Rs.","Rs.","Rs.","Rs."
"2 6","Minister  of  Nation  Building","10501","Advances  to  Public  Officers","12,000,000","2,340,000","50,000,000","—"
"","and  Estate  Infrastructure","","","","","",""
"","Development","","","","","",""
"2 7","Minister  of  Disaster","10601","Advances  to  Public  Officers","1,000,000","240,000","6,000,000","—"
"","Management  &Human  Rights","","","","","",""
"2 8","Minister  of  Tourism","10701","Advances  to  Public  Officers","3,000,000","1,200,000","18,000,000","—"
"29","Minister  of  Ports  and","10801","Advances  to  Public  Officers","8,000,000","1,260,000","25,000,000",""
"","Telecommunications","","","","","",""
"3 0","Minister  of  Rural","10901","Advances  to  Public  Officers","1,000,000","200,000","13,000,000","—"
"","Economic  Development","","","","","",""
"3 1","Minister  of  Justice  and","11001","Advances  to  Public  Officers","12,000,000","4,200,000","50,000,000","—"
"","Law  Reforms","","","","","",""
"3 2","Minister  of  Health  Care","11101","Advances  to  Public  Officers","735,000,000","535,920,000","2,600,000,000","—"
"","and  Nutrition","","","","","",""
"3 3","Minister  of  Foreign  Affairs","11201","Advances  to  Public  Officers","20,000,000","6,660,000","100,000,000","—"
"3 4","Minister  of  Ports  and","11301","Advances  to  Public  Officers","6,000,000","3,000,000","32,000,000","—"
"","Aviation","","","","","",""
"3 5","Minister  of  Railways  and","11401","Advances  to  Public  Officers","6,000,000","3,600,000","25,000,000","—"
"","Transport","","","","","",""
"3 6","Minister  of  Petroleum,","11501","Advances  to  Public  Officers","1,000,000","300,000","4,000,000","—"
"","and  Petroleum  Resources","","","","","",""
