"187","Department  of    Import  and","29601","Advances  to  Public  Officers","3,000,000","1,080,000","16,000,000","—"
"","Export  Control","","","","","",""
"188","Department  of  the  Registrar","29701","Advances  to  Public  Officers","3,000,000","1,080,000","18,000,000","—"
"","of  Companies","","","","","",""
"189","Department  of  Measurement","29801","Advances  to  Public  Officers","6,000,000","2,520,000","42,000,000","—"
"","Units,  Standards  and","","","","","",""
"","Services","","","","","",""
"190","National  Intellectual  Property","29901","Advances  to  Public  Officers","2,000,000","660,000","12,000,000","—"
"","Office  of  Sri  Lanka","","","","","",""
"191","Department  of  Food","30001","Advances  to  Public  Officers","12,000,000","8,400,000","80,000,000","—"
"","Commissioner","","","","","",""
"192","Department  of  Co-operative","30101","Advances  to  Public  Officers","5,000,000","1,260,000","25,000,000","—"
"","Development  (Registrar","","","","","",""
"","of  Co-operative  Societies)","","","","","",""
"193","Co-operative  Employees","30201","Advances  to  Public  Officers","1,000,000","216,000","6,000,000","—"
"","Commission","","","","","",""
"194","Department  of  Textile","30301","Advances  to  Public  Officers","8,000,000","3,240,000","38,000,000","—"
"","Industries","","","","","",""
"195","Department  of  Meteorology","30401","Advances  to  Public  Officers","9,000,000","5,280,000","70,000,000","—"
"196","Department    of  Up-Country","30501","Advances  to  Public  Officers","1,000,000","480,000","10,000,000","—"
"","Peasantry  Rehabilitation","","","","","",""
"197","Sri  Lanka  Railways","30601","Advances  to  Public  Officers","419,000,000","316,320,000","1,765,000,000","—"
"198","Sri  Lanka  Railways","30602","Railway  stores  Advance","1,000,000,000 1,000,000,000","","3,800,000,000","400,000,000"
"","","","Account","","","",""
"199","Department  of  Motor  Traffic","30701","Advances  to  Public  Officers","16,000,000","10,200,000","75,000,000","—"
"200","Department  of  Posts","30801","Advances  to  Public  Officers","514,000,000","241,500,000","1,635,000,000","—"
