"","","","","of  the","of  the","of  the","of  the"
"","","","","Government","Government","Government","Government"
"","","","","Rs.","Rs.","Rs.","Rs."
"9 0","Department    of  Public","20501","Advances  to  Public  Officers","3,000,000","960,000","17,000,000","—"
"","Trustee","","","","","",""
"9 1","Department  of  Cultural","20601","Advances  to  Public  Officers","12,000,000","4,260,000","40,000,000","—"
"","Affairs","","","","","",""
"9 2","Department  Archaeology","20701","Advances  to  Public  Officers","30,000,000","11,160,000","150,000,000",""
"9 3","Department  of  National","20801","Advances  to  Public  Officers","8,000,000","3,900,000","35,000,000","—"
"","Museums","","","","","",""
"9 4","Department  of  National","20901","Advances  to  Public  Officers","4,000,000","1,560,000","15,000,000","—"
"","Archives","","","","","",""
"9 5","Department  of  Information","21001","Advances  to  Public  Officers","7,000,000","3,900,000","35,000,000","—"
"9 6","Department  of  Government","21101","Advances  to  Public  Officers","57,000,000","46,320,000","400,000,000","—"
"","Printer","","","","","",""
"9 7","Department  of","21201","Advances  to  Public  Officers","15,000,000","9,840,000","125,000,000","—"
"","Examinations","","","","","",""
"9 8","Department  of  Educational","21301","Advances  to  Public  Officers","5,000,000","2,340,000","25,000,000","—"
"","Publications","","","","","",""
"9 9","Department  of  Educational","21302","Printing,  Publicity  and","1,300,000,0001,300,000,000","","600,000,000","150,000,000"
"","Publications","","Sales  of  Publications","","","",""
