"5 6","Minister  of  Plantation","13501","Advances  to  Public  Officers","5,000,000","1,920,000","22,000,000","—"
"","Industries","","","","","",""
"5 7","Minister  of  Sports  and","13601","Advances  to  Public  Officers","7,000,000","3,180,000","29,000,000","—"
"","Youth  Affairs","","","","","",""
"5 8","Minister  of  Samurdhi","13701","Advances  to  Public  Officers","8,000,000","3,180,000","32,000,000","—"
"","and  Poverty  Alleviation","","","","","",""
"5 9","Minister  of  Indigenous","13801","Advances  to  Public  Officers","6,000,000","1,020,000","13,000,000","—"
"","Medicine","","","","","",""
"6 0","Minister  of  Fisheries  and","13901","Advances  to  Public  Officers","6,000,000","2,760,000","41,000,000","—"
"","Aquatic  Resources","","","","","",""
"6 1","Minister  of  Livestock","14001","Advances  to  Public  Officers","6,000,000","3,300,000","29,000,000","—"
"","and  Infrastruture","","","","","",""
"","Development","","","","","",""
"6 2","Minister  of  Coconut","14101","Advances  to  Public  Officers","1,000,000","840,000","4,000,000","—"
"","Development","","","","","",""
"6 3","Minister  of  Cultural","14201","Advances  to  Public  Officers","15,000,000","4,980,000","45,000,000","—"
"","and  National  Heritage","","","","","",""
"6 4","Minister  Parliamentary","14301","Advances  to  Public  Officers","2,000,000","1,020,000","13,000,000","—"
"","affairs","","","","","",""
"6 5","Minister  of  Co-operatives","14401","Advances  to  Public  Officers","2,000,000","1,200,000","22,000,000","—"
"","and  Co-operative","","","","","",""
"","Development","","","","","",""
"6 6","Minister  of  Resettlement","14501","Advances  to  Public  Officers","2,000,000","600,000","16,000,000","—"
"6 7","Minister  of  Disaster  Relief","14601","Advances  to  Public  Officers","2,000,000","780,000","5,000,000","—"
"","Services","","","","","",""
"6 8","Minister  of  Home  Affairs","14701","Advances  to  Public  Officers","3,000,000","1,620,000","8,000,000","—"
