"சதா்டர்","அவமச்சு / திவணக்களம்","சசலவின","","I","II","III","IV","V",""
"இல.","","இல.","","அரச சசயற்பாடுகள்","அரசாஙகததின்","அரச","அரச","அரச சசயற்பாடடு",""
"","","","","","சசயற்பாடுகளின்","சசயற்பாடடு","சசயற்பாடடு","ச்பாறுபபுகளின்",""
"","","","","","சசலவினததின்","வரவிறகான","்பறறு மீதிக்கான","உச்ச எலவலகள்",""
"","","","","","உச்ச எலவலகள்","ஆகக் குவறநத","உச்ச எலவலகள்","",""
"","","","","","","எலவலகள்","","ரூ்பா",""
"","","","","","ரூ்பா","ரூ்பா","ரூ்பா","",""
"163","சதசிய ச்பௌதீகத","31101","","அரச அலுவலர்களுக்கான","15,000,000","9,200,000","50,000,000","","-"
"","திட்டமி்டல திவணக்களம்","","முற்பணம்","","","","","",""
"164","சிவில ்பாதுகாபபுத","32001","","அரச அலுவலர்களுக்கான","450,000,000","350,000,000","900,000,000","","-"
"","திவணக்களம்","","முற்பணம்","","","","","",""
"165","சதசிய தாவரவியல","32201","","அரச அலுவலர்களுக்கான","30,000,000","27,000,000","110,000,000","","-"
"","பூஙகாக்கள் திவணக்களம்","","முற்பணம்","","","","","",""
"166","சட்ட அலுவலகள்","32301","","அரச அலுவலர்களுக்கான","1,000,000","675,000","4,000,000","","-"
"","திவணக்களம்","","முற்பணம்","","","","","",""
"167","முகாவமததுவ","32401","","அரச அலுவலர்களுக்கான","3,000,000","2,500,000","10,000,000","","-"
"","கணக்காயவுத","","முற்பணம்","","","","","",""
"","திவணக்களம்","","","","","","","",""
"168","சமுதாய அடிப்பவ்ட","32601","","அரச அலுவலர்களுக்கான","60,000,000","14,000,000","150,000,000","","-"
"","சீர்திருததத  திவணக்களம்","","முற்பணம்","","","","","",""
"169","காணிப ்பயன்்பாடடுக்","32701","","அரச அலுவலர்களுக்கான","20,000,000","17,000,000","75,000,000","","-"
"","சகாள்வக திட்டமி்டல","","முற்பணம்","","","","","",""
"","திவணக்களம்","","","","","","","",""
"170","மனிதவலு மறறும் சவவல","32801","","அரச அலுவலர்களுக்கான","30,000,000","22,000,000","100,000,000","","-"
"","வாயபபுத திவணக்களம்","","முற்பணம்","","","","","",""
"171","தகவல சதாழிலநுட்ப","32901","","அரச அலுவலர்களுக்கான","4,000,000","2,500,000","12,000,000","","-"
"","முகாவமததுவத","","முற்பணம்","","","","","",""
"","திவணக்களம்","","","","","","","",""
"172","சமுர்ததி அ்பிவிருததித","33101","","அரச அலுவலர்களுக்கான","260,000,000","205,000,000","360,000,000","","-"
"","திவணக்களம்","","முற்பணம்","","","","","",""
"173","சதசிய சமுதாய நீர்","33201","","அரச அலுவலர்களுக்கான","30,000,000","12,000,000","150,000,000","","-"
"","வழஙகல திவணக்களம்","","முற்பணம்","","","","","",""
"174","சகாம்சராலர் நாயகம்","33301","","அரச அலுவலர்களுக்கான","5,000,000","2,000,000","9,000,000","","-"
"","அலுவலகம்","","முற்பணம்","","","","","",""
"175","சதசிய கலவி","33501","","அரச அலுவலர்களுக்கான","4,000,000","1,000,000","8,000,000","","-"
"","ஆவணக்குழு","","முற்பணம்","","","","","",""
