"சதா்டர்","அவமச்சு / திவணக்களம்","சசலவின","I","II","III","IV","V",""
"இல.","","இல.","அரச சசயற்பாடுகள்","அரசாஙகததின்","அரச","அரச","அரச சசயற்பாடடு",""
"","","","","சசயற்பாடுகளின்","சசயற்பாடடு","சசயற்பாடடு","ச்பாறுபபுகளின்",""
"","","","","சசலவினததின்","வரவிறகான","்பறறு மீதிக்கான","உச்ச எலவலகள்",""
"","","","","உச்ச எலவலகள்","ஆகக் குவறநத","உச்ச எலவலகள்","",""
"","","","","","எலவலகள்","","ரூ்பா",""
"","","","","ரூ்பா","ரூ்பா","ரூ்பா","",""
"75","சட்ட வவரஞர்","23001","அரச அலுவலர்களுக்கான","10,000,000","3,500,000","20,000,000","","-"
"","திவணக்களம்","","முற்பணம்","","","","",""
"76","க்டன் இணக்கச் சவ்ப","23101","அரச அலுவலர்களுக்கான","5,000,000","900,000","7,500,000","","-"
"","திவணக்களம்","","முற்பணம்","","","","",""
"77","சிவறச்சாவலகள்","23201","அரச அலுவலர்களுக்கான","145,000,000","110,000,000","319,000,000","","-"
"","திவணக்களம்","","முற்பணம்","","","","",""
"78","சிவறச்சாவலகள்","23202","சிவறச்சாவலக்","250,000,000","275,000,000","75,000,000","","15,000,000"
"","திவணக்களம்","","வகதசதாழில மறறும்","","","","",""
"","","","விவசாய முயறசிகள்","","","","",""
"79","அரசாஙக இரசாயனப","23301","அரச அலுவலர்களுக்கான","12,000,000","7,000,000","35,000,000","","-"
"","்பகுப்பாயவாளர்","","முற்பணம்","","","","",""
"","திவணக்களம்","","","","","","",""
"80","உயர் நீதிமன்றப","23401","அரச அலுவலர்களுக்கான","22,000,000","15,000,000","65,000,000","","-"
"","்பதிவாளர் அலுவலகம்","","முற்பணம்","","","","",""
"81","இலஙவக சட்ட","23501","அரச அலுவலர்களுக்கான","700,000","800,000","7,000,000","","-"
"","ஆவணக்குழு","","முற்பணம்","","","","",""
"82","அரச கரும சமாழிகள்","23601","அரச அலுவலர்களுக்கான","6,000,000","4,000,000","18,000,000","","-"
"","திவணக்களம்","","முற்பணம்","","","","",""
"83","சதசிய திட்டமி்டல","23701","அரச அலுவலர்களுக்கான","4,000,000","4,000,000","13,000,000","","-"
"","திவணக்களம்","","முற்பணம்","","","","",""
"84","அரசிவறக் சகாள்வகத","23801","அரச அலுவலர்களுக்கான","3,800,000","3,000,000","11,000,000","","-"
"","திவணக்களம்","","முற்பணம்","","","","",""
"85","சவளிநாடடு வளஙகள்","23901","அரச அலுவலர்களுக்கான","5,500,000","6,000,000","21,800,000","","-"
"","திவணக்களம்","","முற்பணம்","","","","",""
"86","சதசிய வரவுசசலவுத","24001","அரச அலுவலர்களுக்கான","11,000,000","6,000,000","26,000,000","","-"
"","திட்டத திவணக்களம்","","முற்பணம்","","","","",""
"87","அரச சதாழிலமுயறசிகள்","24101","அரச அலுவலர்களுக்கான","7,000,000","3,500,000","18,000,000","","-"
"","திவணக்களம்","","முற்பணம்","","","","",""
