"சதா்டர்","அவமச்சு / திவணக்களம்","சசலவின","I","II","III","IV","V",""
"இல.","","இல.","அரச சசயற்பாடுகள்","அரசாஙகததின்","அரச","அரச","அரச சசயற்பாடடு",""
"","","","","சசயற்பாடுகளின்","சசயற்பாடடு","சசயற்பாடடு","ச்பாறுபபுகளின்",""
"","","","","சசலவினததின்","வரவிறகான","்பறறு மீதிக்கான","உச்ச எலவலகள்",""
"","","","","உச்ச எலவலகள்","ஆகக் குவறநத","உச்ச எலவலகள்","",""
"","","","","","எலவலகள்","","ரூ்பா",""
"","","","","ரூ்பா","ரூ்பா","ரூ்பா","",""
"136","காணி ஆவணயாளர்","28601","அரச அலுவலர்களுக்கான","26,000,000","20,000,000","85,000,000","","-"
"","நாயகம் திவணக்களம்","","முற்பணம்","","","","",""
"137","காணி உாிதது நிர்ணய","28701","அரச அலுவலர்களுக்கான","50,000,000","28,000,000","140,000,000","","-"
"","திவணக்களம்","","முற்பணம்","","","","",""
"138","இலஙவக நில","28801","அரச அலுவலர்களுக்கான","220,000,000","135,000,000","700,000,000","","-"
"","அளவவயாளர் நாயகம்","","முற்பணம்","","","","",""
"","திவணக்களம்","","","","","","",""
"139","ஏறறுமதி கமதசதாழில","28901","அரச அலுவலர்களுக்கான","55,000,000","45,000,000","200,000,000","","-"
"","திவணக்களம்","","முற்பணம்","","","","",""
"140","க்டறசறாழில மறறும்","29001","அரச அலுவலர்களுக்கான","25,000,000","25,000,000","130,000,000","","-"
"","நீரக வளமூலஙகள்","","முற்பணம்","","","","",""
"","திவணக்களம்","","","","","","",""
"141","கவரசயாரம் ச்பணல","29101","அரச அலுவலர்களுக்கான","15,000,000","11,000,000","60,000,000","","-"
"","மறறும் கவரசயார","","முற்பணம்","","","","",""
"","மூலவள முகாவமததுவ","","","","","","",""
"","திவணக்களம்","","","","","","",""
"142","காலநவ்ட உற்பததி","29201","அரச அலுவலர்களுக்கான","35,000,000","25,000,000","110,000,000","","-"
"","மறறும் சுகாதாரத","","முற்பணம்","","","","",""
"","திவணக்களம்","","","","","","",""
"143","இறப்பர் அ்பிவிருததித","29301","அரச அலுவலர்களுக்கான","21,000,000","20,000,000","80,000,000","","-"
"","திவணக்களம்","","முற்பணம்","","","","",""
"144","சதசிய மிருகக்காடசி","29401","அரச அலுவலர்களுக்கான","40,000,000","20,000,000","120,000,000","","-"
"","சாவலகள் திவணக்களம்","","முற்பணம்","","","","",""
"145","வர்ததகத திவணக்களம்","29501","அரச அலுவலர்களுக்கான","3,000,000","2,500,000","20,000,000","","-"
"","","","முற்பணம்","","","","",""
"146","இறக்குமதி மறறும்","29601","அரச அலுவலர்களுக்கான","8,000,000","5,000,000","25,000,000","","-"
"","ஏறறுமதிக் கடடுப்பாடடுத","","முற்பணம்","","","","",""
"","திவணக்களம்","","","","","","",""
"147","கம்்பனிகள் ்பதிவாளர்","29701","அரச அலுவலர்களுக்கான","8,000,000","6,000,000","35,000,000","","-"
"","திவணக்களம்","","முற்பணம்","","","","",""
