"","1 0","Commission  to  Investigate","The  Commission    to  Investigate","Programme  01-","3,500,000","—","3,500,000"
"","","Allegations  of  Bribery  or","Allegations  of  Bribery  or","Operational","","",""
"","","Corruption","Corruption  Commission","Activities","","",""
"","","","Act,  No.  19  of  1994","","","",""
"5","1 6","Parliament","Article  65  of  the  Constitution","Programme  01-","1,200,000","—","1,200,000"
"","","","","Operational","","",""
"","","","","Activities","","",""
"","2 0","Elections  Commission","Article  103  of  the  Constitution","Programme  01-","3,000,000","—","3,000,000"
"","","","","Operational","","",""
"10","","","","Activities","","",""
"","2 1","Auditor  General’s","Article  153  of  the  Constitution","Programme  01-","1,300,000","—","1,300,000"
"","","Department","","","Operational","",""
"","","","","Activities","","",""
"","2 2","Office  of  the  Parliamentary","Article  156  of  the  Constitution","Programme  01-","780,000","—","780,000"
"15","","Commissioner  for","","Operational","","",""
"","","Administration","","Activities","","",""
"","111 Ministry  of  Health,","","Medical  Ordinance","Programme  01-","2,000","—","2,000"
"","","Nutrition  and","(Chapter  105)","Operational","","",""
"","","Indigenous  Medicine","","Activities","","",""
