"","","","of the
Accounts  of
of  the","of the"
"","","","Government
Activities  of the
Government","Government"
"","","","Government",""
"","","","Rs.
Rs.
Rs.","Rs."
"","155","District  Secretariat,  Ratnapura","27801 Advances  to  Public  Officers
66,000,000
  46,000,000 280,000,000","—"
"","156","District  Secretariat,  Kegalle","27901 Advances  to  Public  Officers
60,000,000
40,000,000 165,000,000","—"
"","157","Departament  of  Project","",""
"","","Management  and  Monitoring","28001 Advances  to  Public  Officers
5,000,000
3,500,000
20,000,000","—"
"5","158","Department  of  Agrarian","",""
"","","Development","28101 Advances  to  Public  Officers 295,000,000 225,000,000 600,000,000","—"
"","159","Department  of  Irrigation","28201 Advances  to  Public  Officers 260,000,000 165,000,000 600,000,000","—"
"","160","Department  of  Forests","28301 Advances  to  Public  Officers
75,000,000
68,000,000 296,000,000","—"
"","161","Department  of  Wildlife","",""
"","","Conservation","28401 Advances  to  Public  Officers
65,000,000
39,000,000 168,000,000","—"
"10","","","",""
"","162","Department  of  Agriculture","28501 Advances  to  Public  Officers 330,000,000 180,000,000 1,500,000,000","—"
"","163","Department  of  Agriculture","28502 Maintenance  of  Agricultural",""
"","","","Farms  and  Seed  Sale
              540,000,000 540,000,000
70,000,000","—"
"","164","Department  of  Land","",""
"15","","Commissioner  General","28601 Advances  to  Public  Officers
25,000,000
15,200,000
90,000,000","—"
