"","","","","of the","Accounts  of
of  the","of the"
"","","","","Government","Activities  of the
Government","Government"
"","","","","","Government",""
"","","","","Rs.","Rs.
Rs.","Rs."
"","2 5","Minister  of  Health","11101 Advances  to  Public  Officers","1,800,000,000","1,330,000,000
3,720,000,000","—"
"","2 6","Foreign  Affairs  Minister","11201 Advances  to  Public  Officers","40,000,000","40,000,000 125,000,000","—"
"","2 7","Minister  of  Trade,  Commerce  and","","","",""
"","","Food  Security","11601 Advances  to  Public  Officers","20,000,000","4,000,000
40,000,000","—"
"5","2 8","Minister  of  Transport  and","","","",""
"","","Highways","11701 Advances  to  Public  Officers","40,000,000","16,000,000 120,000,000","—"
"","2 9","Minister  of  Agriculture","11801 Advances  to  Public  Officers 120,000,000","","44,000,000 285,000,000","—"
"","3 0","Minister  of  Power  and  Energy","11901 Advances  to  Public  Officers","10,000,000","7,200,000
30,000,000","—"
"","3 1","Minister  of  Tourism  and  Lands","12201 Advances  to  Public  Officers","25,000,000","12,000,000 100,000,000","—"
"10","3 2","Minister  of  Urban  Development","","","",""
"","","and  Housing","12301 Advances  to  Public  Officers","60,000,000","27,500,000
300,000,000","—"
"","3 3","Minister  of  Education","12601 Advances  to  Public  Officers","3,500,000,000","1,000,000,000
5,000,000,000","—"
"","3 4","Minister  of  Public  Administration,","","","",""
"","","Home  Affairs,  Provincial  Councils","","","",""
