"","","of the","Accounts  of","of  the","of the"
"","","Government","Activities  of the","Government","Government"
"","","","Government","",""
"","","Rs.","Rs.","Rs.","Rs."
"136 District  Secretariat,  Kalutara","25701 Advances  to  Public  Officers","70,000,000","38,000,000","265,000,000","—"
"137 District  Secretariat,  Kandy","25801 Advances  to  Public  Officers","65,000,000","52,000,000","244,000,000","—"
"138 District  Secretariat,  Matale","25901 Advances  to  Public  Officers","25,000,000","24,000,000","150,000,000","—"
"139 District  Secretariat,","26001 Advances  to  Public  Officers","30,000,000","18,800,000","120,000,000","—"
"Nuwara-Eliya","","","","",""
"140 District  Secretariat,  Galle","26101 Advances  to  Public  Officers","52,000,000","46,000,000","223,000,000","—"
"141 District  Secretariat,  Matara","26201 Advances  to  Public  Officers","53,000,000","36,000,000","200,000,000","—"
"142 District  Secretariat,","26301 Advances  to  Public  Officers","40,000,000","25,000,000","155,000,000","—"
"Hambantota","","","","",""
"143 District  Secretariat/Kachcheri,","26401 Advances  to  Public  Officers","43,000,000","25,000,000","110,000,000","—"
"Jaffna","","","","",""
"144 District  Secretariat/Kachcheri,","26501 Advances  to  Public  Officers","12,000,000","6,000,000","50,000,000","—"
"Mannar","","","","",""
"145 District  Secretariat/Kachcheri,","26601 Advances  to  Public  Officers","8,000,000","7,000,000","40,000,000","—"
"Vavuniya","","","","",""
"146 District  Secretariat/Kachcheri,","26701 Advances  to  Public  Officers","13,000,000","5,000,000","44,000,000","—"
"Mullaitivu","","","","",""
"147 District  Secretariat/Kachcheri,","26801 Advances  to  Public  Officers","16,000,000","6,000,000","57,000,000","—"
"Killinochchi","","","","",""
"148 District  Secretariat/  Kachcheri,","26901 Advances  to  Public  Officers","37,000,000","21,000,000","90,000,000","—"
"Batticaloa","","","","",""
"149 District  Secretariat,  Ampara","27001 Advances  to  Public  Officers","55,000,000","46,000,000","183,000,000","—"
