"Head","252","Department  of  Census  and  Statistics","",""
"","","Programme  01
Operational  Activities","612,500,000","604,426,000"
"Head","280","Department  of  Project  Management  and  Monitoring","",""
"","","Programme  02
Development  Activities","70,215,000","7,100,000"
"Head","296","Department  of    Import  and  Export  Control","",""
"","","Programme  01
Operational  Activities","41,120,000","1,000,000"
"Head","323","Department  of  Legal  Affairs","",""
"","","Programme  01
Operational  Activities","11,435,000","650,000"
"Head","324","Department  of  Management  Audit","",""
"","","Programme  01
Operational  Activities","25,710,000","1,600,000"
