"","186","Department  of  National","","","",""
"","","Botanical  Gardens
32201 Advances  to  Public  Officers","33,000,000","18,000,000","83,000,000","—"
"","187","Department  of  Legal  Affairs
32301 Advances  to  Public  Officers","1,000,000","200,000","3,000,000","—"
"","188","Department  of  Management  Audit 32401 Advances  to  Public  Officers","4,500,000","2,200,000","10,000,000","—"
"5","189","Department  of  Community  Based","","","",""
"","","Corrections
32601 Advances  to  Public  Officers","30,000,000","7,500,000","57,000,000","—"
"","190","Department  of  Land  Use  Policy","","","",""
"","","Planning
32701 Advances  to  Public  Officers","23,000,000","15,500,000","71,000,000","—"
"","191","Department  of  Manpower  and","","","",""
"10","","Employment
32801 Advances  to  Public  Officers","18,000,000","11,000,000","60,000,000","—"
"","192","Department  of  Information","","","",""
"","","Technology  Management
32901 Advances  to  Public  Officers","2,500,000","700,000","7,000,000","—"
"","193","Department  of  Samurdhi","","","",""
"","","Development","33101 Advances  to  Public  Officers 325,350,000 275,000,000 350,000,000","","","—"
"15","194","Department  of  National","","","",""
"","","Community  Water  Supply
33201 Advances  to  Public  Officers","14,000,000","2,800,000","38,000,000","—"
"","195","Comptroller  General’s  Office
33301 Advances  to  Public  Officers","1,800,000","600,000","7,000,000","—"
"","","Total","27,620,750,000","21,620,750,000","","65,934,900,000    3,153,000,000 ”"
