"","Head","","","","Recurrent","Capital","22"
"","No.","","","","Expenditure","Expenditure",""
"","","","","","Rs.","Rs.",""
"","","","Ministry  of  Petroleum  Resources  Development","","","",""
"","","","Recurrent","242,100,000","","",""
"","","","Capital","67,700,000","","",""
"","","Made  up  as  follows:-","","","","",""
"5","Head","150","Minister  of  Petroleum  Resources  Development","","","",""
"","","","Programme  01
Operational  Activities","","148,100,000","13,700,000",""
"","","","Programme  02
Development  Activities","","94,000,000","54,000,000",""
"","","","","Ministry  of  Fisheries  &  Aquatic  Resources  Development  and  Rural  Economic  Affairs","","",""
"","","","Recurrent","3,615,805,000","","","Appropriation  (Amendment)"
"10","","","Capital","14,189,542,000","","",""
"","","Made  up  as  follows:-","","","","",""
"","Head","151","","Minister  of  Fisheries  &  Aquatic  Resources  Development  and  Rural  Economic  Affairs","","",""
"","","","Programme  01
Operational  Activities","","1,350,640,000","691,000,000",""
"","","","Programme  02
Development  Activities","","1,281,350,000","11,513,451,000",""
"15","Head","290","Department  of  Fisheries  and  Aquatic  Resources","","","",""
"","","","Programme  01
Operational  Activities","","443,115,000","820,091,000",""
"","Head","292","Department  of  Animal  Production  and  Health","","","",""
"","","","Programme  01
Operational  Activities","","540,700,000","178,000,000",""
"","","","Programme  02
Development  Activities","","—","987,000,000",""
