"","","","Recurrent","260,755,375,000","",""
"","","","Capital","38,437,083,000","",""
"","","Made  up  as  follows:-","","","",""
"5","Head","103","Minister  of  Defence","","",""
"","","","Programme  01
Operational  Activities","","4,967,062,000","5,552,417,000"
"","","","Programme  02
Development  Activities","","2,014,000,000","6,724,073,000"
"","Head","222","Sri  Lanka Army","","",""
"","","","Programme  01
Operational  Activities","","149,536,395,000","8,636,500,000"
"10","Head","223","Sri  Lanka  Navy","","",""
"","","","Programme  01
Operational  Activities","","50,418,948,000","9,840,656,000"
"","Head","224","Sri  Lanka  Air  Force","","",""
"","","","Programme  01
Operational  Activities","","36,512,600,000","7,315,237,000"
"","Head","320","Department  of  Civil  Security","","",""
"15","","","Programme  01
Operational  Activities","","17,268,120,000","315,000,000"
"","Head","325","Department  of  Sri  Lanka  Coast  Guard","","",""
"","","","Programme  01
Operational  Activities","","38,250,000","53,200,000"
