"","","","of the
Accounts  of
of  the","of the"
"","","","Government
Activities  of the
Government","Government"
"","","","Government",""
"","","","Rs.
Rs.
Rs.","Rs."
"","152","Department  of  Irrigation","28201 Advances  to  Public  Officers 240,000,000 145,000,000 600,000,000","—"
"","153","Department  of  Forests","28301 Advances  to  Public  Officers
75,000,000
68,000,000 296,000,000","—"
"","154","Department  of  Wildlife","",""
"","","Conservation","28401 Advances  to  Public  Officers
65,000,000
39,000,000 200,000,000","—"
"5","155","Department  of  Agriculture","28501 Advances  to  Public  Officers 330,000,000 180,000,000 1,500,000,000","—"
"","156","Department  of  Agriculture","28502 Maintenance  of  Agricultural",""
"","","","Farms  and  Seed  Sales
              540,000,000 540,000,000
70,000,000","—"
"","157","Department  of  Land","",""
"","","Commissioner  General","28601 Advances  to  Public  Officers
25,000,000
15,200,000
90,000,000","—"
"10","158","Department  of  Land  Title","",""
"","","Settlement","28701 Advances  to  Public  Officers
21,000,000
16,000,000
88,000,000","—"
"","159","Department  of  Surveyor  General","28801 Advances  to  Public  Officers 150,000,000 121,000,000 500,000,000","—"
"","160","Department  of  Export  Agriculture 28901 Advances  to  Public  Officers","45,000,000
  29,000,000 120,000,000","—"
"","161","Department  of  Fisheries  and","",""
"15","","Aquatic  Resources","29001 Advances  to  Public  Officers
30,000,000
20,000,000 105,000,000","—"
