"","","","Recurrent","29,655,819,000","",""
"","","","Capital","26,387,598,000","",""
"","","Made  up  as  follows:-","","","",""
"5","Head  114","","Minister  of    Transport  and  Civil  Aviation","","",""
"","","","Programme  01
Operational  Activities","","296,100,000","516,300,000"
"","","","Programme  02
Development  Activities","","12,099,000,000","9,580,000,000"
"","Head","306","Department  of  Sri  Lanka  Railways","","",""
"","","","Programme  02
Development  Activities","","15,368,037,000","15,202,298,000"
"10","Head","307","Department  of  Motor  Traffic","","",""
"","","","Programme  02
Development  Activities","","1,892,682,000","1,089,000,000"
"","","","Ministry  of  Highways  &  Road  Development","","",""
"","","","Recurrent","263,280,000","",""
