"","Head","","","Recurrent","Capital","18"
"","No.","","","Expenditure","Expenditure",""
"","","","","Rs.","Rs.",""
"","Head","212","Department    of  Examinations","","",""
"","","","Programme  02  -  Development  Activities","3,083,000,000","869,000,000",""
"","Head","213","Department  of  Educational  Publications","","",""
"","","","Programme  02
Development  Activities","58,660,000","73,600,000",""
"5","","","Ministry  of  Public  Administration,  Management  and  Law  &  Order","","",""
"","","","Recurrent
256,370,725,000","","",""
"","","","Capital
8,745,595,000","","","Appropriation  (Amendment)"
"","","Made  up  as  follows:-","","","",""
"","Head","130","Minister  of  Public  Administration,  Management  and  Law  &  Order","","",""
"","","","Programme  01
Operational  Activities","9,429,512,000","3,295,345,000",""
"10","","","","","",""
"","Head","225","Department  of  Police","","",""
"","","","Programme  01
Operational  Activities","65,999,033,000","5,389,000,000",""
"","Head","253","Department  of  Pensions","","",""
"","","","Programme  01
Operational  Activities","180,942,180,000","61,250,000",""
