"","","","SCHEDULE  (Contd.)","",""
"Serial","Country","Country","Currency","Currency","Rate of Exchange"
"No.","","Code","","Code","(Rs.)"
"44.","Switzerland","CH","Francs","CHF","183.4657"
"45.","Taiwan","TW","Dollar","TWD","6.0099"
"46.","Thailand","TH","Baht","THB","6.0001"
"47.","U.A.E.","AE","Dirham","AED","49.6831"
"48.","United Kingdom","GB","Sterling-Pound","GBP","233.8925"
"49.","United States of America","US","Dollar","USD","182.4933"
"50.","Zambia (Old)","ZM","Kwacha","ZMK","0.0351"
"51.","Zambia (New)","ZM","Kwacha","ZMW","13.3695"
"52.","Zimbabwe","ZW","Dollar","ZWD","0.4809"
