"No.","Column  I","Column  II","Column  III"
"","Sections","",""
"","Amended","Repeal","Insert"
"1","28(1)","“comply  with  the","“comply  with  the"
"","","requirments”","requirements”"
"2","37(3)(a)","“to  the  shatres  or","“to  the  shares  or"
"","","debentures;”","debentures;”"
"3","40(3)(b)","“the  dosuments  (if","“the  documents"
"","","any)”","(if  any)”"
"4","40(4)","“Where  a","“Where  a"
"","","prosopectus”","prospectus”"
"5","41  (Marginal","“Civil  liability","“Civil  liability  in"
"","Note)","untrue  in","respect  of  untrue"
"","","prospectus.”","statement  in"
"","","","prospectus.”"
"6","41(2)(c)","“pubilc  notice”","“public  notice”"
"7","44(b)","“referrence","“reference"
"","","incorporated”","incorporated”"
"8","61(3)(b)","“relive  the","“relieve  the"
"","","director”","director”."
"9","64(3)(a)","“makes  and  offer”","“makes  an  offer”."
"1 0","67(2)(b)","“pruposes  of","“purposes  of"
"","","section  56.”","section  56.”"
"1 1","77(1)","“title  to  the  shares","“title  to  the  shares"
"","","or  debters”,","or  debtors”."
"1 2","84(2)","“same  priorites”,","“same  priorities”;"
"1 3","84(4)","“issue  of  another","“issue  of  another"
"","","denenture”,","debenture”;"
"1 4","84(5)","“priority  wihch","“priority  which"
"","","any  person  would","any  person  would"
"","","have  had”,","have  had”."
