"No.","Column  I","Column  II","Column  III"
"","Sections","",""
"","Amended","Repeal","Insert"
"2 8","152(1)(c)","“sign  on  behlaf”,","“signed  on  behalf”."
"2 9","167(1)","“annual  general","“annual  report”."
"","","meeting  report”,",""
"3 0","168(1)(j)","“subsidaries”,","“subsidiaries”."
"3 1","168(2)","“in  paragraphs  (b)","“in  paragraphs  (d)"
"","","to  (j)  of","to  (j)  of  subsection"
"","","subsection  (1).”,","(1).”."
"3 2","175(5)","“Notwithstansing”,","“Notwithstanding”."
"3 3","180(4)","“where  an","“where  an"
"","","inspector  is","inspector  is"
"","","appinted”,","appointed”."
"3 4","182(3)","“appeal  to  the","“appeal  to  the"
"","","court”,","court”."
"3 5","185(2)","“corporal  or","“corporeal  or"
"","","incorporeal”,","incorporeal”."
"3 6","220(1)","“working  days","“working  days"
"","","form”,","from”;"
"3 7","220(4)","“auothorises  or","“authorises  or"
"","","permits”,","permits”."
"3 8","228(c)","(iiii)","(iii)"
"3 9","241(3)(e)","“necessary  to","“necessary  to"
"","","enble”","enable”."
"4 0","242(1)(b)(iii)","“the  board  is","“  the  board  is"
"","","satified”,","satisfied”"
"4 1","242(5)","“shall  sign  a","“shall  sign  a"
"","","cerificate”","certificate”."
"4 2","245(f)","“by  or  against  an","“by  or  against  an"
"","","amagamating”,","amalgamating”."
