"","","I fldgi ( ^I& fPoh - YS% ,xld m%cd;dka;s%l iudcjd§ ckrcfha w;s úfYI .eiÜ m;%h - 2025'10'06","","","3A"
"","Part I : Sec. (I) - GAZETTE  EXTRAORDINARY  OF THE  DEMOCRATIC  SOCIALIST  REPUBLIC  OF  SRI   LANKA - 06.10.2025","","","",""
"","","","Schedule (Contd.)","",""
"Serial","Country","Country","Currency","Currency","Rate of Exchang"
"No.","","Code","","Code","(Rs.)"
"33.","Pakistan","PK","Pakistan Rupee","PKR","1.0792"
"34.","Papua New Guinea","PG","Papua New Guinea Kina","PGK","72.0341"
"35.","Philippines","PH","Philippines Peso","PHP","5.2798"
"36.","Poland","PL","Poland Zloty","PLN","84.3027"
"37.","Qatar","QA","Qatar Riyal","QAR","84.0263"
"38.","Russia","RU","Russia Rouble","RUB","3.7101"
"39.","Saudi Arabia","SA","Saudi Arabian Riyal","SAR","81.6648"
"40.","Seychelles","SC","Seychelles Rupee","SCR","20.7992"
"41.","Singapore","SG","Singapore Dollar","SGD","237.4719"
"42.","South Africa","ZA","South African Rand","ZAR","17.7012"
"43.","Sweden","SE","Swedish Kroner","SEK","32.5661"
"44.","Switzerland","CH","Swiss Franc","CHF","383.8901"
"45.","Taiwan","TW","Taiwan Dollar","TWD","10.0574"
"46.","Thailand","TH","Thailand Baht","THB","9.4440"
"47.","U.A.E.","AE","UAE Dirham","AED","83.3926"
"48.","United Kingdom","GB","Sterling Pound","GBP","411.5470"
"49.","USA","US","US Dollar","USD","306.2675"
"50.","Zambia","ZM","Zambia Kwacha (Old)","ZMK","0.0590"
"51.","Zambia","ZM","Zambia Kwacha (New)","ZMW","12.9091"
"52.","Zimbabwe","ZW","Zimbabwe Dollar","ZWD","0.8070"
