"Head","","Recurrent
Capital"
"No.","","Expenditure
Expenditure"
"","","Rs.
Rs."
"","Ministry  of  Sports  and  Youth  Affairs",""
"","Recurrent
  6,050,000,000",""
"","Capital
4,200,000,000",""
"Made  up  as  follows  :-","",""
"Head
194","Minister  of  Sports  and  Youth  Affairs",""
"","Programme  01
Operational  Activities","1,004,000,000
                476,000,000"
"","Programme  02
Development  Activities","3,652,000,000
          2,900,000,000"
"Head
219","Department  of  Sports  Development",""
"","Programme  01
Operational  Activities","133,000,000
            8,000,000"
"","Programme  02
Development  Activities","1,261,000,000
                816,000,000"
"","Ministry  of  Irrigation",""
"","Recurrent
    8,900,000,000",""
"","Capital
75,750,000,000",""
"Made  up  as  follows  :-","",""
"Head
198","Minister  of  Irrigation",""
"","Programme  01
Operational  Activities","585,000,000                     248,000,000"
"","Programme  02
Development  Activities","4,091,000,000
      64,293,000,000"
"Head
282","Department  of  Irrigation",""
"","Programme  01
Operational  Activities","924,000,000
          26,000,000"
"","Programme  02
Development  Activities","3,300,000,000
11,183,000,000"
"","Total","2,432,000,000,000   1,225,265,638,000"
