"","","","of the","Accounts  of","of  the","of the"
"","","","Government","Activities  of the","Government","Government"
"","","","","Government","",""
"","","","Rs.","Rs.","Rs.","Rs."
"145","Department  of  Animal  Production","","","","",""
"","and  Health","29201 Advances  to  Public  Officers","","35,000,000        24,000,000  130,000,000","","—"
"146","Department  of  Rubber","","","","",""
"","Development","","29301 Advances  to  Public  Officers     25,000,000        15,000,000      80,000,000","","","—"
"147","Department  of  National  Zoological","","","","",""
"","Gardens","29401 Advances  to  Public  Officers","","40,000,000        15,000,000  120,000,000","","—"
"148","Department  of  Commerce","29501 Advances  to  Public  Officers","","4,500,000            3,000,000      22,000,000","","—"
"149","Department  of  Import  and  Export","","","","",""
"","Control","29601 Advances  to  Public  Officers","","4,000,000            2,800,000      29,000,000","","—"
"150","Department  of  The  Registrar  of","","","","",""
"","Companies","29701 Advances  to  Public  Officers","8,000,000","6,000,000","30,000,000","—"
"151","Department  of  Measurement  Units,","","","","",""
"","Standards  and  Services","29801 Advances  to  Public  Officers","10,000,000","4,000,000","35,000,000","—"
"152","National  Intellectual  Property","","","","",""
"","Office  of  Sri  Lanka","29901 Advances  to  Public  Officers","5,000,000","3,000,000","15,000,000","—"
"153","Department  of  Food  Commissioner","30001 Advances  to  Public  Officers","5,000,000","3,000,000","20,000,000","—"
"154","Department  of  Co-operative","","","","",""
"","Development  (Registrar  of","","","","",""
"","Co-operative  Societies)","30101 Advances  to  Public  Officers","5,000,000","2,500,000","20,000,000","—"
