"Head  315","","Northern  Provincial  Council","",""
"","","Programme  01
Operational  Activities","34,550,000,000","-"
"","","Programme  02
Development  Activities","-","4,460,000,000"
"Head","316","North  Western  Provincial  Council","",""
"","","Programme  01
Operational  Activities","43,526,000,000","-"
"","","Programme  02
Development  Activities","-","3,903,000,000"
"Head","317","North  Central  Provincial  Council","",""
"","","Programme  01
Operational  Activities","28,331,000,000","-"
"","","Programme  02
Development  Activities","-","4,184,000,000"
"Head","318","Uva  Provincial  Council","",""
"","","Programme  01       Operational  Activities","32,801,000,000","-"
"","","Programme  02        Development  Activities","-","4,347,000,000"
"Head","319","Sabaragamuwa  Provincial  Council","",""
"","","Programme  01        Operational  Activities","43,677,000,000","-"
"","","Programme  02        Development  Activities","-","4,282,000,000"
"Head","321","Eastern  Provincial  Council","",""
"","","Programme  01        Operational  Activities","39,019,000,000","-"
"","","Programme  02        Development  Activities","-","4,432,000,000"
"","","Ministry  of  Plantation  Industries","",""
"","","Recurrent
    5,850,000,000","",""
"","","Capital
8,800,000,000","",""
