"Head","","Recurrent
Capital"
"No.","","Expenditure
Expenditure"
"","","Rs.
Rs."
"Made  up  as  follows  :-","",""
"Head
118","Minister  of    Agriculture",""
"","Programme  01
Operational  Activities","2,313,136,000
111,025,000"
"","Programme  02
Development  Activities","61,906,000,000
25,491,475,000"
"Head
281","Department  of  Agrarian  Development",""
"","Programme  01
Operational  Activities","584,250,000                     158,500,000"
"","Programme  02
Development  Activities","9,075,500,000
4,361,500,000"
"Head  285","Department  of  Agriculture",""
"","Programme  01
Operational  Activities","632,100,000           81,000,000"
"","Programme  02
Development  Activities","5,686,914,000
  3,299,500,000"
"Head
292","Department  of  Animal  Production  and  Health",""
"","Programme  01
Operational  Activities","802,100,000
          91,000,000"
"","Programme  02
Development  Activities","-
776,000,000"
"","Ministry  of  Power  and  Energy",""
"","Recurrent
1,000,000,000",""
"","Capital
36,200,000,000",""
"Made  up  as  follows  :-","",""
"Head
119","Minister  of    Power  and  Energy",""
"","Programme  01
Operational  Activities","766,000,000
36,093,000,000"
"","Programme  02
Development  Activities","234,000,000
  107,000,000"
