"අ�ාතයාංශය/ දෙෙපාර්තදෙම්න්තුව","විෂය අංකය
අත්තිකාරම්","උපරි� වියෙම්","අව� �ැබීම්","හාර දෙශ්ෂදෙ�","බ
ැ
රකම්ව�"
"M
i
n
i
s
t
r
y
/
 
Department","Code No.
වර්ගය","සී�ාව","සී�ාව","උපරි� සී�ාව","උපරි� සී�ාව"
"","Categories of","Maximum Limit","M
i
n
i
mum Limit","Maximum Limit","Maximum Limit"
"","Advances","o
f
 
Expenditure","o
f
 
Receipts","o
f
 
Debit Balance","o
f
 
L
i
abilites"
"12
දෙසෞඛය දෙෙපාර්තදෙම්න්තුව","81101
පළාාත් රා: නි:","1,200,000,000","320,000,000","2,002,800,000","-"
"Department of Health","අත්තිකාරම්","","","",""
"","Provincial P:O:","","","",""
"","Advance","","","",""
"13
ආයුර්දෙේෙ දෙෙපාර්තදෙම්න්තුව","81201
පළාාත් රා: නි:","90,000,000","18,000,000","132,000,000","-"
"Department of Indigenous Medicine","අත්තිකාරම්","","","",""
"","Provincial P:O:","","","",""
"","Advance","","","",""
"14
සමුපකාර සංවර්ධන දෙෙපාර්තදෙම්න්තුව","81301
පළාාත් රා: නි:","14,000,000","4,000,000","28,300,000","-"
"Department of Co-operative","අත්තිකාරම්","","","",""
"Department","Provincial P:O:","","","",""
"","Advance","","","",""
"15
පළාාත් පා�න දෙෙපාර්තදෙම්න්තුව","81401
පළාාත් රා: නි:","16,000,000","5,000,000","27,800,000","-"
"Department of Local Government","අත්තිකාරම්","","","",""
"","Provincial P:O:","","","",""
"","Advance","","","",""
"16
පළාාත් �ාර්ග සංවර්ධනය, ග්‍රාාමීය යටිත�","82001
පළාාත් රා: නි:","6,000,000","1,956,000","13,243,994","-"
"පහාසුකම්, සංචාාරක සහා ක්‍රීඩා හාා දෙයෞවන","අත්තිකාරම්","","","",""
"කටයුතු අ�ාතයාංශය","Provincial P:O:","","","",""
"Ministry of Provincial Roads","Advance","","","",""
"Development, Rural Infrastructure,","","","","",""
"Tourism and Sports & Youth Affairs","","","","",""
"17
ක්‍රීඩා සංවර්ධන දෙෙපාර්තදෙම්න්තුව","82101
පළාාත් රා: නි:","3,000,000","1,050,000","7,132,260","-"
"Department of Sports Development","අත්තිකාරම්","","","",""
"","Provincial P:O:","","","",""
"","Advance","","","",""
