"","","","SCHEDULE  (Contd.)","",""
"Serial","Country","Country","Currency","Currency","Rate of Exchange"
"No.","","Code","","Code","(Rs.)"
"44.","Switzerland","CH","Francs","CHF","184.1567"
"45.","Taiwan","TW","Dollar","TWD","5.9605"
"46.","Thailand","TH","Baht","THB","6.0312"
"47.","U.A.E.","AE","Dirham","AED","49.5794"
"48.","United Kingdom","GB","Sterling-Pound","GBP","234.6248"
"49.","United States of America","US","Dollar","USD","182.1126"
"50.","Zambia (Old)","ZM","Kwacha","ZMK","0.0351"
"51.","Zambia (New)","ZM","Kwacha","ZMW","12.9250"
"52.","Zimbabwe","ZW","Dollar","ZWD","0.4799"
