"2 2","Delimitation  Commission","02501","Advances  to  Public  Officers","1,000,000","100,000","3,000,000","—"
"2 3","Non  Cabinet  Minister  of  Digital","","","","","",""
"","Infrastructure  and  Information","","","","","",""
"","Technology","05101","Advances  to  Public  Officers","4,400,000","2,500,000","20,000,000","—"
"2 4","Non  Cabinet  Minister  of  Science,","","","","","",""
"","Technology  and  Research","05201","Advances  to  Public  Officers","45,900,000","22,300,000","137,000,000","—"
"2 5","Non  Cabinet  Minister  of    Economic","","","","","",""
"","Reforms  and  Public  Distribution","05301","Advances  to  Public  Officers","4,500,000","2,500,000","20,000,000","—"
"2 6","Non  Cabinet  Minister  of  Labour  and","","","","","",""
"","Trade  Union  Relations","05401","Advances  to  Public  Officers","12,000,000","4,400,000","32,000,000","—"
"2 7","Non  Cabinet  Minister  of  Mass","","","","","",""
"","Media","05501","Advances  to  Public  Officers","1,000,000","200,000","6,000,000","—"
"2 8","Non  Cabinet  Minister  of  Special","","","","","",""
"","Areas  Development","05601","Advances  to  Public  Officers","3,000,000","300,000","7,000,000","—"
"2 9","Minister  of  Buddhasasana  and","","","","","",""
"","Wayamba  Development","10101","Advances  to  Public  Officers","10,600,000","3,900,000","36,000,000","—"
"30","Minister  of  Finance","10201","Advances  to  Public  Officers","35,000,000","16,300,000","150,000,000","—"
"3 1","Minister  of  Defence","10301","Advances  to  Public  Officers","245,000,000 161,400,000","","692,000,000","—"
"3 2","Minister  of  National  Policies,","","","","","",""
"","Economic  Affairs,  Resettlement","","","","","",""
