"","","","%yjdr;  nrytpdk;","1>249>000>000","",""
"mikT  tUkhW","",":","","","",""
"jiyg;G","149","","ifj;njhopy;> thzpg mikr;rh;","","",""
"","","","epfo;r;rpj;jpl;lk;  01  nray;Kiwr;  nraw;ghLfs;","","171>725>000","17>520>000"
"","","","epfo;r;rpj;jpl;lk;  02  mgptpUj;jpr;  nraw;ghLfs;","","382>125>000","1>196>400>000"
"jiyg;G","295","","th;j;jfj;  jpizf;fsk;","","",""
"","","","epfo;r;rpj;jpl;lk;  01  nray;Kiwr;  nraw;ghLfs;","","89>305>000","8>980>000"
"jiyg;G","297","","fk;gdpfs;  gjpthsh;  jpizf;fsk;","","",""
"","","","epfo;r;rpj;jpl;lk;  01  nray;Kiwr;  nraw;ghLfs;","","27>495>000","-"
"jiyg;G","299","",",yq;if  Njrpa  Gyikr;  nrhj;J  mYtyfk;","","",""
"","","","epfo;r;rpj;jpl;lk;  01  nray;Kiwr;  nraw;ghLfs;","","18>500>000","-"
"jiyg;G","303","","Gilitf;  ifj;njhopy;  jpizf;fsk;","","",""
"","","","epfo;r;rpj;jpl;lk;  02  mgptpUj;jpr;  nraw;ghLfs;","","61>850>000","26>100>000"
