"","For  what  duty","Payable  to","Payable  by","Amount"
"","","Whom","Whom","Rs.
cts."
"1.","Entering  a  notice  of","","",""
"","marriage  at  his  office","Registrar","Applicant",""
"","","","","50.00"
"2.","Entering  a  notice  of","Registrar","Applicant",""
"","","","","100.00"
"","marriage  at  any  other  place","","",""
"3.","Entering  a  notice  of","Additional","Applicant",""
"","","","","100.00"
"","marriage  at  any  place","District","",""
"","other  than  his  office","Registrar","",""
"4.","Entering  a  notice  of","District","Applicant",""
"","","","","150.00"
"","marriage  at  any  place","Registrar","",""
"","other    than  his  office","","",""
"5.","Solemnising  marriage  in","Registrar","Parties  to",""
"","","","","250.00"
"","his  office","","marriage",""
"6.","Solemnising  marriage  in","Additional","Parties  to",""
"","","","","100.00"
"","his  office","District","marriage",""
"","","Registrar","",""
"7.","Solemnising  marriage  in","District","Parties  to",""
"","","","","100.00"
"","his  office","Registrar","marriage",""
