"","","","of the","Accounts  of
of  the","of the",""
"","","","Government","Activities  of the
Government","Government",""
"","","","","Government","",""
"","","","Rs.","Rs.
Rs.","Rs.",""
"","170","Department  of  Buildings
30901 Advances  to  Public  Officers","27,000,000","13,800,000 950,000,000","—",""
"","171","Government  Factory
31001 Advances  to  Public  Officers","32,000,000","25,000,000 125,000,000","—",""
"","172","Government  Factory
31002 Government  Factory","","","",""
"","","Stores  Advance  Account","120,000,000","120,000,000
40,000,000","30,000,000",""
"5","173","Government  Factory
31003 Government  Factory  Work","","","",""
"","","Done  Advance  Account","370,000,000","440,000,000
190,000,000","1,000,000",""
"","174","Department  of  National  Physical","","","","Appropriation"
"","","Planning
31101 Advances  to  Public  Officers","15,000,000","8,300,000
50,000,000","—",""
"","175","Department  of  Civil  Security
32001 Advances  to  Public  Officers","600,000,000","350,000,000
950,000,000","—",""
"10","176","Department  of  National","","","",""
"","","Botanical  Gardens
32201 Advances  to  Public  Officers","33,000,000","18,500,000 100,000,000","—",""
"","177","Department  of  Legal  Affairs
32301 Advances  to  Public  Officers","1,000,000","200,000
  3,000,000","—",""
"","178","Department  of  Management  Audit 32401 Advances  to  Public  Officers","4,800,000","2,000,000
11,000,000","—",""
"","179","Department  of  Community  Based","","","",""
"15","","Corrections
32601 Advances  to  Public  Officers","25,000,000","8,000,000
60,000,000","—",""
"","180","Department  of  Land  Use  Policy","","","",""
"","","Planning
32701 Advances  to  Public  Officers","24,000,000","16,000,000
80,000,000","—",""
"","181","Department  of  Manpower  and","","","",""
"","","Employment
32801 Advances  to  Public  Officers","15,000,000","11,000,000
70,000,000","—",""
