"","","","of the","Accounts  of","of  the","of the"
"","","","Government","Activities  of the","Government","Government"
"","","","","Government","",""
"","","","Rs.","Rs.","Rs.","Rs."
"","9 2","Department  of  Law  Commission
23501 Advances  to  Public  Officers","1,500,000","400,000","5,000,000","—"
"","9 3","Department  of  Official  Languages 23601 Advances  to  Public  Officers","7,500,000","4,000,000","29,000,000","—"
"","9 4","Department  of  National  Planning
23701 Advances  to  Public  Officers","5,000,000","3,500,000","30,000,000","—"
"","9 5","Department  of  Fiscal  Policy
23801 Advances  to  Public  Officers","4,000,000","1,700,000","16,000,000","—"
"","9 6","Department  of  External  Resources 23901 Advances  to  Public  Officers","8,000,000","4,000,000","30,000,000","—"
"5","","","","","",""
"","9 7","Department  of  National  Budget
24001 Advances  to  Public  Officers","11,000,000","5,500,000","38,000,000","—"
"","9 8","Department  of  Public","","","",""
"","","Enterprises
24101 Advances  to  Public  Officers","4,400,000","2,500,000","18,000,000","—"
"","9 9","Department  of  Management","","","",""
"","","Services
24201 Advances  to  Public  Officers","6,500,000","3,000,000","26,000,000","—"
"10","","","","","",""
"","100","Department  of  Development","","","",""
"","","Finance
24301 Advances  to  Public  Officers","4,000,000","1,200,000","14,000,000","—"
"","101","Department  of  Trade  and","","","",""
"","","Investment  Policy
24401 Advances  to  Public  Officers","4,000,000","2,000,000","14,000,000","—"
"15","102","Department  of  Public  Finance
24501 Advances  to  Public  Officers","5,000,000","2,700,000","15,000,000",""
"","103","Department    of  Inland  Revenue","24601 Advances  to  Public  Officers 105,000,000","92,000,000 415,000,000","","—"
