"","Head","Recurrent","Capital"
"","No.","Expenditure","Expenditure"
"","","Rs.","Rs."
"","Ministry  of  Highways  &  Road  Development  and","",""
"","Petroleum  Resources  Development","",""
"","Recurrent
469,000,000","",""
"","Capital
175,065,000,000","",""
"5","Made  up  as  follows  :-","",""
"","Head  117
Minister  of  Highways  &  Road  Development  and","",""
"","Petroleum  Resources  Development","",""
"","Programme  01
Operational  Activities","379,000,000","22,300,000"
"","Programme  02
Development  Activities","90,000,000","175,042,700,000"
"10","Ministry  of  Agriculture,  Rural  Economic  Affairs,  Livestock","",""
"","Development,  Irrigation  and  Fisheries  &  Aquatic  Resources  Development","",""
"","Recurrent
59,702,036,000","",""
"","Capital
54,595,552,000","",""
"","Made  up  as  follows  :-","",""
"15","Head  118
Minister  of  Agriculture,  Rural  Economic  Affairs,  Livestock","",""
"","Development,  Irrigation  and  Fisheries  &  Aquatic  Resources  Development","",""
"","Programme  01
Operational  Activities","1,481,159,000","517,750,000"
"","Programme  02
Development  Activities","41,384,154,000","33,836,640,000"
"","Head
281
Department  of  Agrarian  Development","",""
"20","Programme  01
Operational  Activities","509,100,000","98,000,000"
"","Programme  02
Development  Activities","6,422,100,000","3,881,000,000"
"","Head
282
Department  of  Irrigation","",""
"","Programme  01
Operational  Activities","733,090,000","50,850,000"
"","Programme  02
Development  Activities","2,345,850,000","13,017,800,000"
