"","","","","","","","61A"
"","","I ෙක(cid:675)ටස: (I) ෙ(cid:326)දය - (cid:636) ලංකා (cid:541)ජාතා(cid:486)(cid:437)ක සමාජවා(cid:463) ජනරජෙ(cid:591) අ(cid:431) (cid:618)ෙශෂ ගැස(cid:376) ප(cid:436)ය - 2019.11.20","","","","",""
"","ப(cid:8065)தி I: ெதா(cid:8065)தி (I) - இல(cid:8113)ைக(cid:8114) சனநாயக ேசாச(cid:8098)ச(cid:8112) (cid:8065)(cid:8074)யர(cid:8070) வ(cid:8125)(cid:8119)தமான(cid:8122) ப(cid:8119)திாிைக - அதி விேசஷமான(cid:8080)  - 2019.11.20","","","","","",""
"","ஒ(cid:8094)(cid:8113)கிைண(cid:8122)(cid:8087)","கிழ(cid:8112)(cid:8065)","வட(cid:8112)(cid:8065)","","ஒ(cid:8094)(cid:8113)கிைண(cid:8122)(cid:8087)","கிழ(cid:8112)(cid:8065)","வட(cid:8112)(cid:8065)"
"","இல.","ஒ(cid:8094)(cid:8113)கி","ஒ(cid:8094)(cid:8113)கி","","இல.","ஒ(cid:8094)(cid:8113)கி","ஒ(cid:8094)(cid:8113)கி"
"","","ைண(cid:8122)(cid:8087)க(cid:8128)","ைண(cid:8122)(cid:8087)க(cid:8128)","","","ைண(cid:8122)(cid:8087)க(cid:8128)","ைண(cid:8122)(cid:8087)க(cid:8128)"
"4969","","179596","139537","5012","","180030","139570"
"4970","","179596","139550","5013","","180077","139577"
"4971","","179606","139595","5014","","180100","139580"
"4972","","179620","139610","5015","","180125","139607"
"4973","","179631","139629","5016","","180079","139630"
"","","","","5017","","180054","139631"
"4974","","179639","139658","","","",""
"","","","","5018","","180034","139629"
"4975","","179669","139677","","","",""
"","","","","5019","","180016","139646"
"4976","","179687","139699","","","",""
"4977","","179712","139712","5020","","179997","139688"
"","","","","5021","","179980","139703"
"4978","","179731","139719","","","",""
"","","","","5022","","179973","139721"
"4979","","179746","139698","","","",""
"","","","","5023","","179932","139726"
"4980","","179763","139670","","","",""
"","","","","5024","","179915","139723"
"4981","","179765","139666","","","",""
"","","","","5025","","179911","139745"
"4982","","179774","139636","","","",""
"4983","","179765","139591","5026","","179900","139764"
"4984","","179768","139570","5027","","179898","139787"
"4985","","179771","139550","5028","","179891","139802"
"4986","","179774","139521","5029","","179885","139824"
"4987","","179769","139510","5030","","179926","139827"
"4988","","179754","139480","","","",""
"","","","","5031","","179951","139857"
"4989","","179732","139488","","","",""
"","","","","5032","","179936","139908"
"4990","","179697","139486","","","",""
"","","","","5033","","179904","139930"
"4991","","179686","139486","","","",""
"","","","","5034","","179892","139946"
"4992","","179703","139472","","","",""
"","","","","5035","","179888","139963"
"4993","","179712","139456","","","",""
"","","","","5036","","179891","140003"
"4994","","179729","139441","","","",""
"","","","","5037","","179905","140035"
"4995","","179736","139415","","","",""
"","","","","5038","","179901","140064"
"4996","","179740","139392","","","",""
"","","","","5039","","179881","140048"
"4997","","179758","139384","","","",""
"","","","","5040","","179869","140030"
"4998","","179806","139342","","","",""
"","","","","5041","","179864","140014"
"4999","","179832","139338","","","",""
"","","","","5042","","179850","140001"
"5000","","179878","139360","","","",""
"","","","","5043","","179828","140011"
"5001","","179905","139369","","","",""
"","","","","5044","","179811","139983"
"5002","","179950","139401","","","",""
"","","","","5045","","179802","140000"
"5003","","179943","139445","","","",""
"","","","","5046","","179811","140017"
"5004","","179958","139470","","","",""
"","","","","5047","","179819","140040"
"5005","","179979","139475","","","",""
"","","","","5048","","179835","140059"
"5006","","180002","139519","","","",""
"","","","","5049","","179873","140090"
"5007","","180002","139520","","","",""
"","","","","5050","","179888","140101"
"5008","","180027","139517","","","",""
"","","","","5051","","179913","140104"
"5009","","180047","139520","5052","","179907","140121"
"5010","","180062","139538","5053","","179917","140143"
"5011","","180040","139553","5054","","179928","140158"
