"","","","","","","","51A"
"","","I ෙක(cid:675)ටස: (I) ෙ(cid:326)දය - (cid:636) ලංකා (cid:541)ජාතා(cid:486)(cid:437)ක සමාජවා(cid:463) ජනරජෙ(cid:591) අ(cid:431) (cid:618)ෙශෂ ගැස(cid:376) ප(cid:436)ය - 2019.11.20","","","","",""
"","ப(cid:8065)தி I: ெதா(cid:8065)தி (I) - இல(cid:8113)ைக(cid:8114) சனநாயக ேசாச(cid:8098)ச(cid:8112) (cid:8065)(cid:8074)யர(cid:8070) வ(cid:8125)(cid:8119)தமான(cid:8122) ப(cid:8119)திாிைக - அதி விேசஷமான(cid:8080)  - 2019.11.20","","","","","",""
"","ஒ(cid:8094)(cid:8113)கிைண(cid:8122)(cid:8087)","கிழ(cid:8112)(cid:8065)","வட(cid:8112)(cid:8065)","","ஒ(cid:8094)(cid:8113)கிைண(cid:8122)(cid:8087)","கிழ(cid:8112)(cid:8065)","வட(cid:8112)(cid:8065)"
"","இல.","ஒ(cid:8094)(cid:8113)கி","ஒ(cid:8094)(cid:8113)கி","","இல.","ஒ(cid:8094)(cid:8113)கி","ஒ(cid:8094)(cid:8113)கி"
"","","ைண(cid:8122)(cid:8087)க(cid:8128)","ைண(cid:8122)(cid:8087)க(cid:8128)","","","ைண(cid:8122)(cid:8087)க(cid:8128)","ைண(cid:8122)(cid:8087)க(cid:8128)"
"4109","","172323","138741","4152","","172480","139208"
"4110","","172313","138762","4153","","172529","139221"
"4111","","172310","138771","4154","","172554","139235"
"4112","","172309","138786","4155","","172550","139269"
"4113","","172303","138798","4156","","172546","139299"
"4114","","172288","138784","4157","","172562","139311"
"4115","","172277","138808","4158","","172580","139336"
"4116","","172265","138822","4159","","172613","139349"
"4117","","172272","138837","4160","","172636","139372"
"4118","","172254","138841","4161","","172602","139419"
"","","","","4162","","172637","139408"
"4119","","172228","138818","","","",""
"4120","","172188","138856","4163","","172676","139426"
"4121","","172196","138863","4164","","172740","139444"
"4122","","172218","138867","4165","","172743","139444"
"4123","","172228","138873","4166","","172784","139544"
"4124","","172228","138882","4167","","172745","139565"
"4125","","172219","138886","4168","","172701","139601"
"4126","","172225","138926","4169","","172660","139609"
"4127","","172246","138928","4170","","172651","139614"
"","","","","4171","","172651","139602"
"4128","","172251","138940","","","",""
"","","","","4172","","172631","139590"
"4129","","172232","138953","","","",""
"","","","","4173","","172601","139603"
"4130","","172241","138983","","","",""
"","","","","4174","","172577","139628"
"4131","","172272","139002","","","",""
"","","","","4175","","172544","139614"
"4132","","172304","139043","","","",""
"4133","","172315","139081","4176","","172510","139626"
"4134","","172305","139096","4177","","172490","139648"
"4135","","172301","139110","4178","","172468","139661"
"4136","","172334","139122","4179","","172475","139691"
"4137","","172354","139124","4180","","172464","139719"
"4138","","172363","139175","4181","","172458","139736"
"4139","","172376","139052","4182","","172447","139755"
"4140","","172400","139058","4183","","172437","139786"
"4141","","172392","139082","","","",""
"","","","","4184","","172425","139798"
"4142","","172424","139112","","","",""
"","","","","4185","","172398","139832"
"4143","","172438","139112","","","",""
"","","","","4186","","172407","139852"
"4144","","172465","139102","","","",""
"","","","","4187","","172407","139858"
"4145","","172481","139113","","","",""
"","","","","4188","","172378","139870"
"4146","","172502","139122","","","",""
"","","","","4189","","172360","139871"
"4147","","172467","139127","","","",""
"","","","","4190","","172341","139880"
"4148","","172434","139137","4191","","172339","139856"
"4149","","172421","139166","","","",""
"","","","","4192","","172312","139865"
"4150","","172406","139195","","","",""
"","","","","4193","","172288","139886"
"4151","","172475","139187","4194","","172256","139903"
