"","","","","","109A"
"","I ෙක(cid:675)ටස: (I) ෙ(cid:326)දය - (cid:636) ලංකා (cid:541)ජාතා(cid:486)(cid:437)ක සමාජවා(cid:463) ජනරජෙ(cid:591) අ(cid:431) (cid:618)ෙශෂ ගැස(cid:376) ප(cid:436)ය - 2019.11.20","","","",""
"","ப(cid:8065)தி I: ெதா(cid:8065)தி (I) - இல(cid:8113)ைக(cid:8114) சனநாயக ேசாச(cid:8098)ச(cid:8112) (cid:8065)(cid:8074)யர(cid:8070) வ(cid:8125)(cid:8119)தமான(cid:8122) ப(cid:8119)திாிைக - அதி விேசஷமான(cid:8080)  - 2019.11.20","","","",""
"ஒ(cid:8094)(cid:8113)கிைண(cid:8122)(cid:8087)","கிழ(cid:8112)(cid:8065)","வட(cid:8112)(cid:8065)","ஒ(cid:8094)(cid:8113)கிைண(cid:8122)(cid:8087)","கிழ(cid:8112)(cid:8065)","வட(cid:8112)(cid:8065)"
"இல.","ஒ(cid:8094)(cid:8113)கி","ஒ(cid:8094)(cid:8113)கி","இல.","ஒ(cid:8094)(cid:8113)கி","ஒ(cid:8094)(cid:8113)கி"
"","ைண(cid:8122)(cid:8087)க(cid:8128)","ைண(cid:8122)(cid:8087)க(cid:8128)","","ைண(cid:8122)(cid:8087)க(cid:8128)","ைண(cid:8122)(cid:8087)க(cid:8128)"
"9097","167848","122721","9140","167934","122497"
"9098","167849","122721","9141","167946","122496"
"9099","167850","122721","9142","167960","122494"
"9100","167867","122721","9143","167974","122494"
"9101","167874","122720","9144","167984","122545"
"9102","167872","122715","9145","167964","122553"
"9103","167868","122705","9146","167966","122580"
"9104","167866","122698","9147","167952","122591"
"9105","167865","122690","9148","167944","122601"
"9106","167865","122682","9149","167953","122615"
"9107","167864","122675","9150","167954","122618"
"9108","167861","122656","9151","167951","122628"
"9109","167857","122639","9152","167948","122635"
"9110","167834","122630","9153","167942","122647"
"9111","167814","122614","9154","167936","122659"
"9112","167794","122598","9155","167940","122673"
"9113","167801","122593","9156","167924","122669"
"9114","167808","122589","9157","167907","122671"
"9115","167815","122602","9158","167902","122671"
"9116","167826","122603","9159","167894","122690"
"9117","167843","122605","9160","167905","122705"
"9118","167859","122588","9161","167911","122720"
"9119","167874","122578","9162","167917","122737"
"9120","167880","122574","9163","167941","122738"
"9121","167881","122573","9164","167947","122744"
"9122","167879","122555","9165","167955","122751"
"9123","167876","122540","9166","167958","122757"
"9124","167888","122536","9167","167964","122769"
"9125","167895","122533","9168","167965","122771"
"9126","167906","122530","9169","167970","122771"
"9127","167911","122529","9170","167979","122770"
"9128","167914","122520","9171","167994","122780"
"9129","167910","122516","9172","168004","122778"
"9130","167908","122514","9173","168006","122778"
"9131","167905","122511","9174","168020","122775"
"9132","167902","122508","9175","168024","122774"
"9133","167896","122502","9176","168019","122757"
"9134","167890","122498","9177","168034","122747"
"9135","167880","122491","9178","168047","122729"
"9136","167893","122484","9179","168044","122705"
"9137","167901","122479","9180","168044","122686"
"9138","167907","122476","9181","168037","122673"
"9139","167924","122468","9182","168048","122665"
