"","","","","","193A"
"","I ෙක(cid:675)ටස: (I) ෙ(cid:326)දය - (cid:636) ලංකා (cid:541)ජාතා(cid:486)(cid:437)ක සමාජවා(cid:463) ජනරජෙ(cid:591) අ(cid:431) (cid:618)ෙශෂ ගැස(cid:376) ප(cid:436)ය - 2019.11.20","","","",""
"","ப(cid:8065)தி I: ெதா(cid:8065)தி (I) - இல(cid:8113)ைக(cid:8114) சனநாயக ேசாச(cid:8098)ச(cid:8112) (cid:8065)(cid:8074)யர(cid:8070) வ(cid:8125)(cid:8119)தமான(cid:8122) ப(cid:8119)திாிைக - அதி விேசஷமான(cid:8080)  - 2019.11.20","","","",""
"ஒ(cid:8094)(cid:8113)கிைண(cid:8122)(cid:8087)","கிழ(cid:8112)(cid:8065)","வட(cid:8112)(cid:8065)","ஒ(cid:8094)(cid:8113)கிைண(cid:8122)(cid:8087)","கிழ(cid:8112)(cid:8065)","வட(cid:8112)(cid:8065)"
"இல.","ஒ(cid:8094)(cid:8113)கி","ஒ(cid:8094)(cid:8113)கி","இல.","ஒ(cid:8094)(cid:8113)கி","ஒ(cid:8094)(cid:8113)கி"
"","ைண(cid:8122)(cid:8087)க(cid:8128)","ைண(cid:8122)(cid:8087)க(cid:8128)","","ைண(cid:8122)(cid:8087)க(cid:8128)","ைண(cid:8122)(cid:8087)க(cid:8128)"
"995","178500","140142","1037","177035","139558"
"996","178475","140069","1038","177066","139582"
"997","178450","140019","1039","177170","139564"
"998","178383","140001","1040","177230","139586"
"999","178340","139995","1041","177235","139608"
"1000","178334","140050","1042","177257","139633"
"1001","178377","140136","1043","177293","139652"
"1002","178370","140235","1044","177326","139671"
"1003","178358","140290","1045","177342","139671"
"1004","178334","140364","1046","177383","139668"
"1005","178303","140358","1047","177451","139662"
"1006","178272","140296","1048","177492","139650"
"1007","178241","140235","1049","177536","139644"
"1008","178223","140173","1050","177586","139659"
"1009","178210","140142","1051","177631","139691"
"1010","178174","140118","1052","177687","139736"
"1011","178069","140136","1053","177707","139768"
"1012","178020","140136","1054","177719","139824"
"1013","178014","140087","1055","177722","139859"
"1014","178044","140013","1056","177704","139906"
"1015","178087","140001","1057","177687","139951"
"1016","178143","139847","1058","177645","140015"
"1017","178167","139730","1059","177619","140098"
"1018","178161","139675","1060","177607","140145"
"1019","178118","139638","1061","177584","140215"
"1020","178044","139675","1062","177545","140283"
"1021","177989","139718","1063","177478","140301"
"1022","177884","139718","1064","177413","140257"
"1023","177835","139662","1065","177372","140198"
"1024","177792","139601","1066","177330","140154"
"1025","177804","139521","1067","177295","140124"
"1026","177798","139465","1068","177263","140095"
"1027","177730","139465","1069","177248","140074"
"1028","177681","139490","1070","177227","140054"
"1029","177607","139539","1071","177186","140045"
"1030","177564","139595","1072","177164","140041"
"1031","177472","139533","1073","177179","140064"
"1032","177435","139496","1074","177150","140093"
"1033","177324","139496","1075","177102","140091"
"1034","177244","139478","1076","177044","140044"
"1035","177195","139478","1077","176976","140028"
"1036","177115","139496","1078","176918","140015"
