"","","","","","199A"
"","I ෙක(cid:675)ටස: (I) ෙ(cid:326)දය - (cid:636) ලංකා (cid:541)ජාතා(cid:486)(cid:437)ක සමාජවා(cid:463) ජනරජෙ(cid:591) අ(cid:431) (cid:618)ෙශෂ ගැස(cid:376) ප(cid:436)ය - 2019.11.20","","","",""
"","ப(cid:8065)தி I: ெதா(cid:8065)தி (I) - இல(cid:8113)ைக(cid:8114) சனநாயக ேசாச(cid:8098)ச(cid:8112) (cid:8065)(cid:8074)யர(cid:8070) வ(cid:8125)(cid:8119)தமான(cid:8122) ப(cid:8119)திாிைக - அதி விேசஷமான(cid:8080)  - 2019.11.20","","","",""
"ஒ(cid:8094)(cid:8113)கிைண(cid:8122)(cid:8087)","கிழ(cid:8112)(cid:8065)","வட(cid:8112)(cid:8065)","ஒ(cid:8094)(cid:8113)கிைண(cid:8122)(cid:8087)","கிழ(cid:8112)(cid:8065)","வட(cid:8112)(cid:8065)"
"இல.","ஒ(cid:8094)(cid:8113)கி","ஒ(cid:8094)(cid:8113)கி","இல.","ஒ(cid:8094)(cid:8113)கி","ஒ(cid:8094)(cid:8113)கி"
"","ைண(cid:8122)(cid:8087)க(cid:8128)","ைண(cid:8122)(cid:8087)க(cid:8128)","","ைண(cid:8122)(cid:8087)க(cid:8128)","ைண(cid:8122)(cid:8087)க(cid:8128)"
"1499","162543","145885","1541","160831","147006"
"1500","162517","145877","1542","160822","147041"
"1501","162503","145866","1543","160820","147099"
"1502","162468","145868","1544","160818","147151"
"1503","162454","145862","1545","160798","147177"
"1504","162428","145853","1546","160762","147202"
"1505","162401","145862","1547","160723","147206"
"1506","162376","145888","1548","160691","147213"
"1507","162349","145897","1549","160678","147248"
"1508","162322","145900","1550","160671","147279"
"1509","162274","145902","1551","160669","147328"
"1510","162244","145911","1552","160676","147353"
"1511","162214","145952","1553","160709","147379"
"1512","162187","145993","1554","160754","147386"
"1513","162158","146009","1555","160816","147384"
"1514","162142","146034","1556","160874","147379"
"1515","162129","146055","1557","160934","147360"
"1516","162093","146081","1558","160952","147360"
"1517","162013","146118","1559","160978","147373"
"1518","161939","146130","1560","161003","147397"
"1519","161847","146161","1561","161027","147419"
"1520","161761","146210","1562","161052","147439"
"1521","161706","146278","1563","161094","147459"
"1522","161650","146346","1564","161121","147477"
"1523","161570","146438","1565","161143","147491"
"1524","161546","146456","1566","161158","147513"
"1525","161546","146506","1567","161200","147513"
"1526","161472","146549","1568","161238","147513"
"1527","161386","146653","1569","161263","147495"
"1528","161318","146746","1570","161289","147475"
"1529","161256","146813","1571","161316","147461"
"1530","161182","146832","1572","161337","147461"
"1531","161121","146912","1573","161337","147488"
"1532","161084","146955","1574","161333","147546"
"1533","161053","146992","1575","161360","147565"
"1534","161027","147004","1576","161395","147569"
"1535","161022","147004","1577","161399","147600"
"1536","160982","147002","1578","161391","147631"
"1537","160963","146993","1579","161391","147650"
"1538","160920","146982","1580","161414","147654"
"1539","160885","146990","1581","161449","147654"
"1540","160867","147001","1582","161461","147631"
