"","","","","","53A"
"","I ෙක(cid:675)ටස: (I) ෙ(cid:326)දය - (cid:636) ලංකා (cid:541)ජාතා(cid:486)(cid:437)ක සමාජවා(cid:463) ජනරජෙ(cid:591) අ(cid:431) (cid:618)ෙශෂ ගැස(cid:376) ප(cid:436)ය - 2019.11.20","","","",""
"","ப(cid:8065)தி I: ெதா(cid:8065)தி (I) - இல(cid:8113)ைக(cid:8114) சனநாயக ேசாச(cid:8098)ச(cid:8112) (cid:8065)(cid:8074)யர(cid:8070) வ(cid:8125)(cid:8119)தமான(cid:8122) ப(cid:8119)திாிைக - அதி விேசஷமான(cid:8080)  - 2019.11.20","","","",""
"ஒ(cid:8094)(cid:8113)கிைண(cid:8122)(cid:8087)","கிழ(cid:8112)(cid:8065)","வட(cid:8112)(cid:8065)","ஒ(cid:8094)(cid:8113)கிைண(cid:8122)(cid:8087)","கிழ(cid:8112)(cid:8065)","வட(cid:8112)(cid:8065)"
"இல.","ஒ(cid:8094)(cid:8113)கி","ஒ(cid:8094)(cid:8113)கி","இல.","ஒ(cid:8094)(cid:8113)கி","ஒ(cid:8094)(cid:8113)கி"
"","ைண(cid:8122)(cid:8087)க(cid:8128)","ைண(cid:8122)(cid:8087)க(cid:8128)","","ைண(cid:8122)(cid:8087)க(cid:8128)","ைண(cid:8122)(cid:8087)க(cid:8128)"
"4281","172000","140359","4324","172765","139621"
"4282","172034","140338","4325","172785","139620"
"4283","172074","140340","4326","172826","139596"
"4284","172094","140342","4327","172834","139582"
"","","","4328","172849","139560"
"4285","172118","140328","","",""
"","","","4329","172871","139548"
"4286","172103","140302","","",""
"","","","4330","172902","139524"
"4287","172094","140281","","",""
"","","","4331","172902","139526"
"4288","172109","140263","","",""
"","","","4332","172915","139506"
"4289","172116","140242","","",""
"","","","4333","172939","139481"
"4290","172135","140214","","",""
"","","","4334","172960","139451"
"4291","172174","140187","","",""
"","","","4335","172981","139407"
"4292","172204","140183","","",""
"","","","4336","173001","139389"
"4293","172224","140172","","",""
"4294","172236","140156","4337","173054","139360"
"4295","172273","140126","4338","173068","139343"
"4296","172301","140112","4339","173064","139314"
"4297","172314","140099","4340","173055","139303"
"4298","172303","140064","4341","173071","139287"
"4299","172268","140052","4342","173089","139273"
"4300","172247","140042","4343","173108","139260"
"","","","4344","173128","139250"
"4301","172227","140024","","",""
"","","","4345","173145","139233"
"4302","172243","140000","","",""
"4303","172262","139987","4346","173154","139227"
"4304","172275","139973","4347","173163","139240"
"4305","172309","139960","4348","173196","139245"
"4306","172336","139944","4349","173216","139216"
"4307","172383","139921","4350","173234","139205"
"4308","172403","139910","4351","173267","139216"
"4309","172432","139889","4352","173285","139218"
"4310","172476","139879","4353","173290","139223"
"4311","172508","139876","4354","173313","139233"
"4312","172542","139841","4355","173338","139236"
"4313","172570","139823","4356","173343","139213"
"4314","172578","139815","4357","173314","139213"
"4315","172590","139800","4358","173311","139212"
"4316","172605","139781","4359","173299","139186"
"4317","172597","139765","4360","173315","139175"
"4318","172611","139734","4361","173395","139166"
"4319","172645","139704","4362","173357","139154"
"4320","172687","139696","4363","173354","139142"
"4321","172722","139670","4364","173376","139133"
"4322","172770","139660","4365","173397","139130"
"4323","172765","139638","4366","173410","139086"
