"","","","","","","","45A"
"","","I ෙක(cid:675)ටස: (I) ෙ(cid:326)දය - (cid:636) ලංකා (cid:541)ජාතා(cid:486)(cid:437)ක සමාජවා(cid:463) ජනරජෙ(cid:591) අ(cid:431) (cid:618)ෙශෂ ගැස(cid:376) ප(cid:436)ය - 2019.11.20","","","","",""
"","ப(cid:8065)தி I: ெதா(cid:8065)தி (I) - இல(cid:8113)ைக(cid:8114) சனநாயக ேசாச(cid:8098)ச(cid:8112) (cid:8065)(cid:8074)யர(cid:8070) வ(cid:8125)(cid:8119)தமான(cid:8122) ப(cid:8119)திாிைக - அதி விேசஷமான(cid:8080)  - 2019.11.20","","","","","",""
"","ஒ(cid:8094)(cid:8113)கிைண(cid:8122)(cid:8087)","கிழ(cid:8112)(cid:8065)","வட(cid:8112)(cid:8065)","","ஒ(cid:8094)(cid:8113)கிைண(cid:8122)(cid:8087)","கிழ(cid:8112)(cid:8065)","வட(cid:8112)(cid:8065)"
"","இல.","ஒ(cid:8094)(cid:8113)கி","ஒ(cid:8094)(cid:8113)கி","","இல.","ஒ(cid:8094)(cid:8113)கி","ஒ(cid:8094)(cid:8113)கி"
"","","ைண(cid:8122)(cid:8087)க(cid:8128)","ைண(cid:8122)(cid:8087)க(cid:8128)","","","ைண(cid:8122)(cid:8087)க(cid:8128)","ைண(cid:8122)(cid:8087)க(cid:8128)"
"3593","","176479","136455","3636","","176006","136397"
"3594","","176528","136443","3637","","175980","136368"
"3595","","176517","136415","3638","","175972","136321"
"3596","","176505","136399","","","",""
"","","","","3639","","175977","136303"
"3597","","176487","136397","","","",""
"","","","","3640","","175966","136264"
"3598","","176476","136419","","","",""
"","","","","3641","","175934","136283"
"3599","","176448","136436","","","",""
"","","","","3642","","175893","136289"
"3600","","176428","136435","","","",""
"","","","","3643","","175853","136257"
"3601","","176395","136445","","","",""
"","","","","3644","","175856","136278"
"3602","","176359","136445","","","",""
"","","","","3645","","175860","136292"
"3603","","176341","136425","","","",""
"","","","","3646","","175861","136311"
"3604","","176301","136449","","","",""
"","","","","3647","","175858","136335"
"3605","","176315","136469","","","",""
"","","","","3648","","175865","136352"
"3606","","176322","136513","","","",""
"","","","","3649","","175869","136389"
"3607","","176315","136523","","","",""
"","","","","3650","","175878","136420"
"3608","","176321","136538","3651","","175881","136439"
"3609","","176325","136569","3652","","175883","136462"
"3610","","176320","136593","3653","","175891","136492"
"3611","","176307","136612","3654","","175899","136525"
"3612","","176312","136629","3655","","175928","136582"
"3613","","176290","136633","3656","","175912","136609"
"3614","","176283","136589","3657","","175924","136661"
"3615","","176288","136561","3658","","175933","136713"
"3616","","176272","136548","3659","","175932","136730"
"3617","","176258","136535","3660","","175928","136734"
"3618","","176251","136507","3661","","175869","136752"
"3619","","176274","136479","3662","","175855","136737"
"3620","","176194","136406","3663","","175789","136751"
"","","","","3664","","175754","136753"
"3621","","176172","136386","","","",""
"3622","","176148","136366","3665","","175733","136756"
"3623","","176116","136346","3666","","175711","136751"
"","","","","3667","","175710","136751"
"3624","","176110","136321","","","",""
"","","","","3668","","175680","136744"
"3625","","176085","136290","","","",""
"","","","","3669","","175660","136726"
"3626","","176068","136307","","","",""
"","","","","3670","","175650","136722"
"3627","","176079","136336","","","",""
"","","","","3671","","175628","136709"
"3628","","176095","136367","","","",""
"","","","","3672","","175601","136704"
"3629","","176095","136390","","","",""
"","","","","3673","","175588","136697"
"3630","","176094","136425","","","",""
"3631","","176096","136456","3674","","175566","136682"
"3632","","176088","136474","3675","","175535","136660"
"3633","","176076","136470","3676","","175498","136643"
"3634","","176050","136440","3677","","175452","136620"
"3635","","176023","136420","3678","","175429","136596"
