"","","","","","197A"
"","I ෙක(cid:675)ටස: (I) ෙ(cid:326)දය - (cid:636) ලංකා (cid:541)ජාතා(cid:486)(cid:437)ක සමාජවා(cid:463) ජනරජෙ(cid:591) අ(cid:431) (cid:618)ෙශෂ ගැස(cid:376) ප(cid:436)ය - 2019.11.20","","","",""
"","ப(cid:8065)தி I: ெதா(cid:8065)தி (I) - இல(cid:8113)ைக(cid:8114) சனநாயக ேசாச(cid:8098)ச(cid:8112) (cid:8065)(cid:8074)யர(cid:8070) வ(cid:8125)(cid:8119)தமான(cid:8122) ப(cid:8119)திாிைக - அதி விேசஷமான(cid:8080)  - 2019.11.20","","","",""
"ஒ(cid:8094)(cid:8113)கிைண(cid:8122)(cid:8087)","கிழ(cid:8112)(cid:8065)","வட(cid:8112)(cid:8065)","ஒ(cid:8094)(cid:8113)கிைண(cid:8122)(cid:8087)","கிழ(cid:8112)(cid:8065)","வட(cid:8112)(cid:8065)"
"இல.","ஒ(cid:8094)(cid:8113)கி","ஒ(cid:8094)(cid:8113)கி","இல.","ஒ(cid:8094)(cid:8113)கி","ஒ(cid:8094)(cid:8113)கி"
"","ைண(cid:8122)(cid:8087)க(cid:8128)","ைண(cid:8122)(cid:8087)க(cid:8128)","","ைண(cid:8122)(cid:8087)க(cid:8128)","ைண(cid:8122)(cid:8087)க(cid:8128)"
"1331","167975","141956","1373","166770","142899"
"1332","167910","141967","1374","166832","142967"
"1333","167888","142000","1375","166850","143029"
"1334","167888","142049","1376","166899","143072"
"1335","167888","142076","1377","166973","143109"
"1336","167888","142115","1378","167004","143170"
"1337","167877","142142","1379","167060","143219"
"1338","167812","142142","1380","167103","143275"
"1339","167763","142164","1381","167103","143342"
"1340","167773","142245","1382","167146","143422"
"1341","167823","142289","1383","167133","143472"
"1342","167861","142333","1384","167053","143515"
"1343","167866","142344","1385","166943","143558"
"1344","167899","142360","1386","166838","143546"
"1345","167915","142398","1387","166770","143472"
"1346","167964","142425","1388","166727","143435"
"1347","167981","142507","1389","166653","143435"
"1348","167959","142556","1390","166579","143478"
"1349","167910","142594","1391","166506","143496"
"1350","167883","142622","1392","166438","143459"
"1351","167861","142644","1393","166364","143459"
"1352","167817","142671","1394","166358","143533"
"1353","167806","142693","1395","166288","143538"
"1354","167806","142720","1396","166253","143527"
"1355","167779","142736","1397","166140","143527"
"1356","167752","142687","1398","166091","143513"
"1357","167741","142616","1399","166055","143450"
"1358","167730","142594","1400","166006","143436"
"1359","167708","142551","1401","165985","143513"
"1360","167626","142605","1402","166034","143570"
"1361","167566","142638","1403","165978","143633"
"1362","167515","142635","1404","165872","143640"
"1363","167509","142610","1405","165815","143598"
"1364","167447","142542","1406","165766","143506"
"1365","167318","142524","1407","165695","143471"
"1366","167183","142524","1408","165596","143520"
"1367","167084","142561","1409","165511","143591"
"1368","166992","142573","1410","165497","143633"
"1369","166887","142616","1411","165497","143669"
"1370","166789","142635","1412","165434","143662"
"1371","166703","142709","1413","165405","143612"
"1372","166703","142801","1414","165363","143633"
