"","Head","Recurrent","Capital","26"
"","No.","Expenditure","Expenditure",""
"","","Rs.","Rs.",""
"","Head
204
Department  of  Hindu  Religious  and  Cultural  Affairs","","",""
"","Programme  02
Development  Activities","194,960,000","94,800,000",""
"","Minister  of  Youth  Affairs,  Project  Management  &  Southern  Development","","",""
"","Recurrent
4,240,667,000","","",""
"5","Capital
4,316,550,000","","",""
"","Made  up  as  follows:-","","",""
"","Head  148
Minister  of  Youth  Affairs,  Project  Management  &  Southern  Development","","",""
"","Programme  01
Operational  Activities","1,602,510,000","1,447,400,000","Appropriation"
"","Programme  02
Development  Activities","2,543,577,000","2,862,650,000",""
"10","Head  280
Department  of  Project  Management  and  Monitoring","","",""
"","Programme  02
Development  Activities","94,580,000","6,500,000",""
"","Ministry  of  Industry  &  Commerce","","",""
"","Recurrent
2,965,000,000","","",""
"","Capital
7,411,000,000","","",""
"15","Made  up  as  follows:-","","",""
"","Head
149
Minister  of  Industry  and  Commerce","","",""
"","Programme  01
Operational  Activities","719,650,000","989,000,000",""
"","Programme  02
Development  Activities","1,716,350,000","6,304,000,000",""
