"","2 2","Delimitation  Commission","02501 Advances  to  Public  Officers","1,000,000","100,000
3,000,000","—"
"","2 3","State  Minister  of  National","","","",""
"","","Unity  &  Co-existence","02701 Advances  to  Public  Officers","3,000,000","800,000
10,000,000","—"
"","2 4","Minister  of  Buddha  Sasana","10101 Advances  to  Public  Officers","9,000,000","3,500,000
28,000,000","—"
"5","2 5","Minister  of  Finance  and  Mass","","","",""
"","","Media","10201 Advances  to  Public  Officers","36,000,000","16,500,000 130,000,000","—"
"","2 6","Minister  of  Defence","","10301 Advances  to  Public  Officers 100,000,000","50,000,000 275,000,000","—"
"","2 7","Minister  of  National  Policies","","","",""
"","","and    Economic  Affairs","10401 Advances  to  Public  Officers","14,000,000","9,000,000
69,000,000","—"
"10","28","Minister  of  Post,  Postal  services","","","",""
"","","and    Muslim  Religious  Affairs","10801 Advances  to  Public  Officers","8,000,000","2,200,000
60,000,000","—"
"","2 9","Minister  of  Justice  and","","","",""
"","","Prison  Reforms","11001 Advances  to  Public  Officers","30,000,000","11,000,000 110,000,000","—"
"","3 0","Minister  of  Health,    Nutrition","","","",""
"","","","","","",""
"15","","and  Indigenous  Medicine","11101 Advances  to  Public  Officers","1,560,000,000","1,100,000,000
3,000,000,000","—"
"","3 1","Minister  of  Foreign  Affairs","11201 Advances  to  Public  Officers","40,000,000","26,000,000 150,000,000","—"
"","3 2","Minister  of  Transport  and  Civil","","","",""
"","","Aviation","11401 Advances  to  Public  Officers","11,500,000","6,000,000
48,000,000","—"
"","3 3","Minister  of  Highways  and","","","",""
"20","","Road  Development","11701 Advances  to  Public  Officers","19,000,000","7,000,000
55,000,000","—"
"","3 4","Minister  of    Agriculture","11801 Advances  to  Public  Officers","52,000,000","22,000,000 140,000,000","—"
