"","","","","","of the","Accounts of","of the","of the",""
"","","","","","Government","Activities of the  Government","","Government",""
"","","","","","","Government","","",""
"","","","","","Rs.","Rs.","Rs.","Rs.",""
"","139","Department of Export","28901","Advances to Public","","","","",""
"","","Agriculture","","Officers","80,000,000","59,000,000","220,000,000","",""
"","","","","","","","","","-"
"","140","Department of Fisheries and","29001","Advances to Public","","","","",""
"","","Aquatic Resources","","Officers","58,000,000","35,000,000","235,489,000","",""
"","","","","","","","","","-"
"5","141","Department of Coast","29101","Advances to Public","","","","",""
"","","","","","27,000,000","16,000,000","90,000,000","","-"
"","","Conservation and Coastal","","Officers","","","","",""
"","","Resource Management","","","","","","",""
"","142","Department of Animal","29201","Advances to Public","","","","",""
"","","","","","51,000,000","35,000,000","219,000,000","","-"
"","","Production and Health","","Officers","","","","",""
"10","143","Department of Rubber","29301","Advances to Public","","","","",""
"","","Development","","Officers","42,000,000","27,000,000","106,000,000","","-"
"","144","Department of National","29401","Advances to Public","","","","",""
"","","Zoological Gardens","","Officers","43,000,000","28,000,000","134,000,000","","-"
"","145","Department of Commerce","29501","Advances to Public","","","","",""
"","","","","Officers","7,000,000","3,000,000","15,000,000","","-"
"15","","","","","","","","",""
"","146","Department of Import and","29601","Advances to Public","","","","",""
"","","Export Control","","Officers","12,000,000","8,000,000","31,000,000","","-"
"","147","Department of The Registrar","29701","Advances to Public","","","","",""
"","","of Companies","","Officers","15,000,000","9,000,000","55,000,000","","-"
