"","","","of the
Accounts  of
of  the","of the"
"","","","Government
Activities  of the
Government","Government"
"","","","Government",""
"","","","Rs.
Rs.
Rs.","Rs."
"","8 2","Department  of  Government","",""
"","","Analyst","23301 Advances  to  Public  Officers
7,000,000
6,000,000
  28,000,000","—"
"","8 3","Office  of  the  Registrar  of  the","",""
"","","Supreme  Court","23401 Advances  to  Public  Officers
20,000,000     10,000,000     50,000,000","—"
"5","8 4","Law  Commission  of  Sri  Lanka","23501 Advances  to  Public  Officers
    2,000,000
        500,000
    6,000,000","—"
"","8 5","Department  of  Official  Languages 23601 Advances  to  Public  Officers","7,000,000
      5,200,000       29,000,000","—"
"","8 6","Department  of  National  Planning","23701 Advances  to  Public  Officers
    5,000,000
    4,500,000
  18,000,000","—"
"","8 7","Department  of  Fiscal  Policy","23801 Advances  to  Public  Officers
    3,500,000
      1,500,000     11,000,000","—"
"","8 8","Department  of  External  Resources 23901 Advances  to  Public  Officers","6,000,000
      4,000,000       26,000,000","—"
"10","8 9","Department  of  National  Budget","24001 Advances  to  Public  Officers      10,000,000
      5,000,000
  30,000,000","—"
"","9 0","Department  of  Public  Enterprises","24101 Advances  to  Public  Officers         5,000,000
      3,500,000
16,000,000","—"
"","9 1","Department  of  Management","",""
"","","Services","24201 Advances  to  Public  Officers
  5,500,000
  3,300,000     20,000,000","—"
"","9 2","Department  of  Development","",""
"15","","Finance","24301 Advances  to  Public  Officers
    4,000,000
      2,000,000     12,000,000","—"
"","9 3","Department  of  Trade  and","",""
"","","Investment  Policies","24401 Advances  to  Public  Officers
    4,000,000         3,000,000       14,000,000","—"
"","9 4","Department  of  Public  Finance","24501 Advances  to  Public  Officers         4,000,000           3,800,000       14,000,000","—"
"","9 5","Department    of  Inland  Revenue","24601 Advances  to  Public  Officers      90,000,000        86,000,000  400,000,000","—"
