"","Head","","Recurrent
Capital"
"","No.","","Expenditure
Expenditure"
"","","","Rs.
Rs."
"","Head
204","Department  of  Hindu  Religious  and  Cultural  Affairs",""
"","","Programme  02
Development  Activities","258,000,000
          36,000,000"
"","Head   205","Department  of  Public  Trustee",""
"","","Programme  01
Operational  Activities","81,000,000
          5,000,000"
"5","Head   206","Department  of  Cultural  Affairs",""
"","","Programme  01
Operational  Activities","147,000,000
          6,000,000"
"","","Programme  02
Development  Activities","634,000,000
                156,500,000"
"","Head
207","Department  of  Archaeology",""
"","","Programme  01
Operational  Activities","319,000,000             11,000,000"
"10","","Programme  02
Development  Activities","967,000,000                     150,000,000"
"","Head
208","Department  of  National  Museums",""
"","","Programme  01
Operational  Activities","70,000,000
            3,000,000"
"","","Programme  02
Development  Activities","230,000,000                     227,000,000"
"","Head
209","Department  of  National  Archives",""
"15","","Programme  01
Operational  Activities","103,000,000
            7,000,000"
"","","Programme  02
Development  Activities","87,000,000
                311,000,000"
"","","Ministry  of    Finance,  Economic  Stabilization  and  National  Policies",""
"","","Recurrent
274,954,262,000",""
"","","Capital
338,982,778,000",""
