"","","","of the
Accounts  of
of  the","of the"
"","","","Government
Activities  of the
Government","Government"
"","","","Government",""
"","","","Rs.
Rs.
Rs.","Rs."
"","117","District  Secretariat/  Kachcheri-","",""
"","","Mannar","26501 Advances  to  Public  Officers     15,000,000       12,000,000     60,000,000","—"
"","118","District  Secretariat/  Kachcheri-","",""
"","","Vavuniya","26601 Advances  to  Public  Officers
  15,000,000       12,000,000
  65,000,000","—"
"5","119","District  Secretariat/  Kachcheri-","",""
"","","Mullaitivu","26701 Advances  to  Public  Officers     15,000,000       11,000,000
  55,000,000","—"
"","120","District  Secretariat/  Kachcheri-","",""
"","","Killinochchi","26801 Advances  to  Public  Officers     15,000,000     11,500,000     50,000,000","—"
"","121","District  Secretariat/  Kachcheri-","",""
"10","","Batticaloa","26901 Advances  to  Public  Officers      40,000,000     38,000,000    170,000,000","—"
"","122","District  Secretariat  -  Ampara","27001 Advances  to  Public  Officers     70,000,000     52,000,000    250,000,000","—"
"","123","District  Secretariat/  Kachcheri-","",""
"","","Trincomalee","27101 Advances  to  Public  Officers     35,000,000     24,000,000   140,000,000","—"
"","124","District  Secretariat,  Kurunagala","27201 Advances  to  Public  Officers     85,000,000       90,000,000   300,000,000","—"
"15","125","District  Secretariat,  Puttalam","27301 Advances  to  Public  Officers     50,000,000       50,000,000   200,000,000","—"
"","126","","District  Secretariat,  Anuradhapura 27401 Advances  to  Public  Officers     70,000,000     65,000,000   260,000,000","—"
"","127","District  Secretariat,  Polonnaruwa","27501 Advances  to  Public  Officers     30,000,000       25,000,000   120,000,000","—"
"","128","District  Secretariat,  Badulla","27601 Advances  to  Public  Officers     60,000,000     46,000,000   230,000,000","—"
"","129","District  Secretariat,  Monaragala","27701 Advances  to  Public  Officers     35,000,000     30,000,000   130,000,000","—"
