"","","","of the","Accounts  of","of  the","of the"
"","","","Government","Activities  of the","Government","Government"
"","","","","Government","",""
"","","","Rs.","Rs.","Rs.","Rs."
"1","His  Excellency  the  President","00101 Advances  to  Public  Officers","25,000,000","22,000,000 125,000,000","","—"
"2","Office  of  the  Prime  Minister","00201 Advances  to  Public  Officers","20,000,000","9,000,000","80,000,000","—"
"3","Judges  of  the  Superior  Courts","00401 Advances  to  Public  Officers","1,000,000","200,000","3,000,000","—"
"4","Office  of  the  Cabinet  of  Ministers","00501 Advances  to  Public  Officers","3,000,000","3,000,000","15,000,000","—"
"5","Office  of  the  Public  Service","","","","",""
"","Commission","00601 Advances  to  Public  Officers","5,000,000","9,000,000","40,000,000","—"
"6","Judicial  Service  Commission","00701 Advances  to  Public  Officers","3,000,000","1,700,000","15,000,000","—"
"7","National  Police  Commission","00801 Advances  to  Public  Officers","3,000,000","2,200,000","10,000,000","—"
"8","Administrative  Appeals  Tribunal","00901 Advances  to  Public  Officers","500,000","500,000","2,000,000","—"
"9","Commission  to  Investigate","","","","",""
"","Allegations  of  Bribery  or","","","","",""
"","Corruption","01001 Advances  to  Public  Officers","12,000,000","7,500,000","45,000,000","—"
"1 0","Commision  to  Investigate","01002 Advancing  monies  to  be","","","",""
