"","","of the
Accounts  of
of  the","of the"
"","","Government
Activities  of the
Government","Government"
"","","Government",""
"","","Rs.
Rs.
Rs.","Rs."
"8 3","Department  of  Government","",""
"","Analyst","23301 Advances  to  Public  Officers
8,000,000
6,000,000
  35,000,000","—"
"8 4","Office  of  the  Registrar  of  the","",""
"","Supreme  Court","23401 Advances  to  Public  Officers
20,000,000     10,500,000     65,000,000","—"
"8 5","Law  Commission  of  Sri  Lanka","23501 Advances  to  Public  Officers
    2,000,000
        600,000
    9,000,000","—"
"8 6","Department  of  Official  Languages 23601 Advances  to  Public  Officers","5,000,000
      4,400,000       21,000,000","—"
"8 7","Department  of  National  Planning","23701 Advances  to  Public  Officers
    3,800,000
    4,000,000
  15,000,000","—"
"8 8","Department  of  Fiscal  Policy","23801 Advances  to  Public  Officers
    3,800,000
      1,800,000     11,500,000","—"
"8 9","Department  of  External  Resources 23901 Advances  to  Public  Officers","9,000,000
      5,000,000       25,000,000","—"
"9 0","Department  of  National  Budget","24001 Advances  to  Public  Officers
      9,000,000
      5,500,000
  30,000,000","—"
"9 1","Department  of  Public  Enterprises","24101 Advances  to  Public  Officers         6,000,000
      3,500,000
15,000,000","—"
"9 2","Department  of  Management","",""
"","Services","24201 Advances  to  Public  Officers
  5,000,000
  3,000,000     20,000,000","—"
"9 3","Department  of  Development","",""
"","Finance","24301 Advances  to  Public  Officers
    4,000,000
      2,200,000     12,000,000","—"
"9 4","Department  of  Trade  and","",""
"","Investment  Policies","24401 Advances  to  Public  Officers
    4,000,000         2,000,000       15,000,000","—"
"9 5","Department  of  Public  Finance","24501 Advances  to  Public  Officers         4,400,000           4,000,000       14,000,000","—"
"9 6","Department    of  Inland  Revenue","24601 Advances  to  Public  Officers      60,000,000        80,000,000  400,000,000","—"
