"","","","I","II","","[sections 3,4,8 and 9]",""
"SRL","Ministry / Department","Item","Activities of the Government","Maximum","Minimum","Maximum","Maximum"
"No.","","No.","ESTIMATE — 2024","Limits of","Limits of","Limits of","Limits of"
"","","","","Expenditure","","Receipts  to  be Debit Balance","Liabilities"
"","","","Limits  of  Advance  Accounts  Activities","","","",""
"","","","","of Activities","credited  to  the","of Activities","of Activities"
"","","","I","of the","Accounts  of","of  the","of the"
"SRL","Ministry / Department","Item","Activities of the Government","Government","Activities  of the","Government","Government"
"No.","","No.","","Limits of","Government","Limits of","Limits of"
"","","","","Expenditure","","Receipts  to  be Debit Balance","Liabilities"
"","","","","Rs.","Rs.","Rs.","Rs."
"","","","","of Activities","credited  to  the","of Activities","of Activities"
"","","","","of the","Accounts  of","of  the","of the"
"","","","","Government","Activities  of the","Government","Government"
"","","","","","Government","",""
"","","","","Rs.","Rs.","Rs.","Rs."
"1","His  Excellency  the  President","","00101 Advances  to  Public  Officers","25,000,000","","22,000,000 125,000,000","—"
